feature,BayesianRidge,lgbm,rf,mean
1,0.02166331670109929,0.029850746268656716,0.0001563517710710512,0.01722347158027569
2,0.13117705155890708,0.023880597014925373,0.06169352677903599,0.07225039178428948
3,0.1145723008541828,0.017412935323383085,0.004617624227980173,0.045534286801848685
4,0.11503778726990876,0.022388059701492536,0.06379898849446464,0.06707494515528865
5,0.21016497576708357,0.0845771144278607,0.01101904246892632,0.10192037755462352
6,0.07606187779490037,0.009950248756218905,0.013315386272198613,0.03310917094110596
7,0.049199055500970486,0.029850746268656716,0.013637322214297854,0.030895707994641683
8,0.08124779355637352,0.03917910447761194,0.006924432897153773,0.04245044364371308
9,0.024622746745028224,0.0,0.0016187259664580433,0.008747157570495422
10,0.06301579689177642,0.014925373134328358,0.007651871560478887,0.028531013862194556
11,0.12361265594953053,0.03482587064676617,0.3725674560766519,0.1770019942243162
12,0.04700124224217466,0.0,0.037342235799396654,0.02811449268052377
13,0.06680165572690064,0.032835820895522394,0.012878594377088574,0.0375053569998372
14,0.06861067755266834,0.0255863539445629,0.024321016722044647,0.03950601607309196
15,0.0658277933759515,0.0,0.14821594851488526,0.07134791396361224
16,0.06427346889619139,0.008955223880597015,0.02294084343647512,0.03205651207108784
17,0.08079135762404158,0.009950248756218905,0.047572223292471016,0.046104609890910496
18,0.06209841944610513,0.06716417910447761,0.07747358028967412,0.06891205961341895
19,0.0841623480016604,0.04975124378109453,0.02658511845864003,0.05349957008046499
20,0.12238653678857184,0.05970149253731343,0.05437967845707918,0.07882256926098814
21,0.10699977603895355,0.026119402985074626,0.024230719383212192,0.05244996613574679
22,0.07792569967390475,0.029850746268656716,0.04739487634749979,0.05172377409668708
23,0.1568194951032879,0.0,0.0022396257563567527,0.05301970695321489
24,0.11556292028396055,0.022388059701492536,0.2523808632724278,0.13011061441929364
25,0.03697225687325175,0.024875621890547265,0.008459291764353628,0.023435723509384217
26,0.05004766373936,0.0037313432835820895,0.03875616444021983,0.030845057154387307
27,0.17991983220271346,0.0,0.03216770631905928,0.07069584617392426
28,0.16011534311819717,0.0,0.014142711511062223,0.05808601820975313
29,0.03655235220898803,0.004975124378109453,0.02915780171146785,0.02356175943285511
30,0.09923950395029144,0.004975124378109453,0.06942442434765103,0.05787968422535064
31,0.07718623851977262,0.009950248756218905,0.02090181189514014,0.03601276639037722
32,0.09845027328320866,0.014925373134328358,0.026985872782631464,0.04678717306672283
33,0.15933605055483707,0.04477611940298507,0.03261027981989799,0.07890748325924003
34,0.061719455808612045,0.010660980810234541,0.015513607662418868,0.02929801476042182
35,0.1139851808994355,0.03582089552238806,0.016635703032511752,0.0554805931514451
36,0.1316335949251601,0.009950248756218905,0.00878220086583808,0.05012201484907237
37,0.15911597556703913,0.14925373134328357,0.054842918997876744,0.12107087530273315
38,0.13219915314836253,0.03150912106135987,0.008872366422546539,0.05752688021075631
39,0.12051533852629788,0.08582089552238806,0.019757568133256423,0.07536460072731412
40,0.05547848620795399,0.005970149253731343,0.21320618805481836,0.09155160783883458
41,0.05342213081801999,0.055970149253731345,0.004456392102063282,0.03794955739127154
42,0.21296169882898316,0.029850746268656716,0.011259249192796484,0.08469056476347879
43,0.10043783514397993,0.0037313432835820895,0.22358020942804574,0.10924979595186925
44,0.15585308113971788,0.04477611940298507,0.000800511096001586,0.06714323721290151
45,0.05900930357328131,0.03731343283582089,0.21364242830534055,0.10332172157148091
46,0.12326507984599341,0.05970149253731343,0.015319002749286673,0.06609519171086452
47,0.12947674348618926,0.022388059701492536,0.04327523033372421,0.06504667784046868
