feature,p_value,score,BayesianRidge,gbc,lgbm,xgb,rf,mean
p1_GAP,0.2747140519451589,1.1962373811720333,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,1.151991822276937e-06,24.378369810720905,0.161887103290063,0.0005183196228671716,0.0,2.7126165e-05,0.0024512262294901213,0.032976755061514165
p1_M,6.877809328628855e-05,16.17270154087728,0.18313104025195173,0.0,0.0,8.699011e-06,0.0016050378716384788,0.03694895542696449
p1_QPVDHE,0.4802540622906055,0.4991935298414583,0.0,0.0,0.0,0.0,0.0,0.0
p2_GAP,0.5734353308677,0.31747539548882103,0.0,0.0,0.0,0.0,0.0,0.0
p2_N,2.0158647620370686e-14,62.95699925744211,0.00020185442301399136,0.0,0.0,4.81117e-06,0.00021725507282413457,8.478413319341717e-05
p2_QDLHMEP,2.2536283775386898e-07,27.72791928972188,0.148408073424342,0.00020790382015827642,0.3111111111111111,0.00012143995,0.01919091945295423,0.09580788955224036
p2_S,5.115046055362548e-44,247.55174181551416,0.09479428800597975,0.2546243451989718,0.0,4.1025287e-05,0.018117762855517455,0.07351548426947756
p2_T,0.4496364442773888,0.5726597645514723,0.0,0.0,0.0,0.0,0.0,0.0
p3_G,6.720423692411668e-22,103.84898149847574,0.07407745838156113,0.00019531956006822886,0.0,5.343041e-06,0.004024224976340105,0.015660469191756204
p3_GAP,5.557457386303438e-53,316.803355081281,0.014543599669688129,2.0718253910996118e-05,0.0,5.9174313e-06,0.22350456457455223,0.04761495998588647
p3_IKYTVLRPSN,0.9374743240712341,0.006161088188403319,0.0,0.0,0.0,0.0,0.0,0.0
p3_M,1.0038242790285382e-08,34.22051108100724,0.029607466982556067,1.4113961794202085e-05,0.0,5.7902736e-07,0.0004280959357578144,0.006010051181493141
p4_E,4.85311597930717e-25,122.12230123618419,0.07297902923758764,0.0005594344343048975,0.022222222222222223,0.00010140143,0.0018245395154751058,0.019537325367307137
p4_G,2.3021253273817496e-11,47.26967282002427,0.0680181610814718,0.0004111440986862422,0.022222222222222223,1.1544457e-05,0.0025588978482084523,0.018644393941570882
p4_GAP,0.8318943481338086,0.045116855638369195,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.012396987522419847,6.308584853362511,0.05871160160199025,3.882924622266214e-05,0.0,9.824086e-07,0.0006119005272126946,0.011872662756795313
