feature,BayesianRidge,gbc,lgbm,xgb,rf,mean
1,0.31793313251352817,0.0007562258580585861,0.0,8.95620760275051e-05,0.004044221160459427,0.06456462832161473
2,0.14953081214568312,0.24786602406893168,0.10370370370370371,0.00027879129629582167,0.024943015911494514,0.10526446942522176
3,0.07263147560987021,0.00022386022888759723,0.0,1.9732307919184677e-05,0.15152005835468632,0.044879025300272664
4,0.11015963253006995,0.001951730274008663,0.008888888888888889,0.0001282016164623201,0.002515070211676033,0.02472870470422117
5,0.20268438832888624,0.0009748250626625055,0.0,1.0961975021928083e-05,0.008857251346705747,0.04250548534265529
6,0.12595151704768986,0.005856107998103634,0.026666666666666665,5.698598761227913e-05,0.08464342534889008,0.0486349406097925
7,0.11053299519650471,0.0007287556012394636,0.002777777777777778,4.6827757614664733e-05,0.0018509196540273131,0.023187455197432785
8,0.08220682414039775,0.0002450932585311712,0.0044444444444444444,0.0002209249505540356,0.009438468598655018,0.019311151078516484
9,0.1194050583995824,0.00023484663855428097,0.007407407407407407,6.397239485522732e-05,0.00210100430054202,0.02584245782818827
10,0.1142091606233476,0.0,0.022222222222222223,0.0011132500367239118,0.01561142696822644,0.030631211970104034
11,0.09844588472678634,0.10569835533865739,0.016666666666666666,0.40188148617744446,0.13135466448301095,0.15080941147851318
12,0.061455932347575404,0.05288762670186024,0.0,0.0,0.0634861224249234,0.0355659362948718
13,0.05362609376561741,0.0006913610380709666,0.007407407407407407,1.7018946891766973e-05,0.021222346649834547,0.01659284556156442
14,0.1045752058024658,0.02057176188960859,0.0,0.001904092961922288,0.02589125847574476,0.030588463825948285
15,0.13646195233358135,0.006750925805842775,0.0,1.1101320524176117e-05,0.01729238302844748,0.03210327249767916
16,0.17344485467032691,0.012311009123270501,0.044444444444444446,0.0,0.013309763463746427,0.04870201434035766
17,0.18869538763798518,0.049663285493871785,0.02469135802469136,0.0012038651620969176,0.011441473790911094,0.055139074021911275
18,0.29448778349461885,1.0,0.08888888888888889,3.220965663786046e-05,0.09969780749159324,0.29662133790634776
