feature,p_value,score,lgbm,rf,gbc,xgb,BayesianRidge,mean
p1_E,0.0009552855209427483,10.998280040836246,0.012048192771084338,0.0002523180146955539,0.0,3.5671528e-07,0.01008549785668953,0.004477273071549081
p1_GAP,1.3366662638137372e-14,61.743825771941545,0.13253012048192772,0.000837531061751837,0.0011195498907363372,5.668489e-06,0.11888456211179504,0.05067548640702992
p1_K,3.456157134602438e-24,110.31282073158701,0.0,0.0028339984495889623,0.00023873293424905297,2.0244486e-05,0.11209742599931243,0.02303808037387459
p1_R,8.126562194477634e-52,267.9602358203107,0.0,0.04057399775446259,0.00020836042140625927,0.0,0.03552781491359199,0.015262034617892167
p1_SNMIG,0.6521763802774124,0.20332815724239137,0.0,0.0,0.0,0.0,0.0,0.0
p2_L,5.0532214184653485e-52,269.24156672580835,0.0,0.04057399775446259,0.00020836042140625927,0.0,0.03552781491359199,0.015262034617892167
p2_M,1.0694833170832328e-62,337.7815232494699,0.024096385542168676,0.010065094533381693,0.011695712354398946,3.8683407e-05,0.06873931070963825,0.022927037309354165
p2_QVFDKRPSY,3.799727527906151e-05,17.171146645318945,0.04819277108433735,0.001718245646522465,0.005219270290358712,1.984604e-05,0.06669841069727309,0.02436970875174465
p2_W,3.157264428645065e-14,59.91623974484012,0.0,0.0008064944026122946,0.0,1.3143579e-05,0.032380529681983926,0.006640033532729959
p3_GAP,0.4610194340876512,0.5439706842754723,0.0,0.0,0.0,0.0,0.0,0.0
p3_LQDTG,0.002126128553896179,9.502448922823962,0.03614457831325301,0.0017529070921548826,0.0010816039172022937,1.1386626e-06,0.10579794379949689,0.028955634356937994
p3_M,0.3421685181759573,0.9034199052616517,0.0,0.0,0.0,0.0,0.0,0.0
p3_N,7.332798291516579e-22,98.24163464410981,0.0,0.00040075689379578537,0.0005742342234858546,0.0,0.036326122164989406,0.0074602226564542086
