,R2,MAE,MSE,RMSE,MAPE
gbc,0.8625543352171576,3.1111695864066933,26.3316983823982,4.8564377206136795,0.006277528878373848
xgb,0.8562202563697378,2.966580541217138,27.153854146300546,4.91773598917957,0.005990805647398965
rf,0.8337741907291815,3.252989287326765,31.633763044154335,5.203774969802682,0.006574158999723285
et,0.8113541224705715,3.4707799546875138,35.8969351983655,5.579673016828902,0.007009688912489803
lgbm,0.8060508761236183,3.632714320665291,36.92323252408495,5.728073663847762,0.007331901262236334
dt,0.7800878166842586,3.8690867680668175,41.13648940204676,6.0572515293841205,0.007815898775960886
HubR,0.7545905168797586,4.081581187077495,46.83861171658152,6.335036720074916,0.00823955251267571
Adaboost,0.7198120250488655,5.188968177436167,50.91616023222336,7.037812161944269,0.010505034993988893
BayesianRidge,0.6692794094124234,5.233740014742053,59.851089396587,7.388472514668163,0.01056342184222476
LassoLars,0.6542993681987626,5.409471322091674,62.377716844487146,7.596213545765295,0.010923336045745458
Lasso,0.6542886668421161,5.40960989663687,62.37900720394375,7.596347910759329,0.010923620604075505
lr,-2.001222574905246e+19,10417380085.203915,4.5922161780211083e+21,32108769275.229725,21325520.533319503
