feature,lgbm,rf,gbc,BayesianRidge,Adaboost,mean
1,0.02564102564102564,0.046336128553074604,0.016984133635274134,0.0733905881838806,0.0009350403907711084,0.03265738328080522
2,0.0,0.14069899096472083,0.001873553189997852,0.2569473580274865,0.0007898338041229225,0.08006194719726563
3,0.0,0.06143971802376042,0.15534210622700956,0.34955040864326303,0.0005540784650052528,0.11337726227180764
4,0.0,0.0794539523196517,0.18174772422096563,0.10876522876887013,0.0014914434233479499,0.07429166974656708
5,0.0,0.009858206503065285,0.0005869625460895826,0.13980015555213585,0.0008402212653056683,0.030217109173319278
6,0.0,0.05955497690987185,0.021478906358251282,0.21623870385179347,0.0,0.05945451742398332
7,0.0,0.006264014119471918,0.043973835134244986,0.23188339120241774,0.0037690269431850504,0.05717805347986393
8,0.0,0.04963670107282435,0.03299112974788517,0.22710223200274854,0.0013626512553212204,0.06221854281575585
9,0.07692307692307693,0.023348192510629393,0.06632597730161073,0.18477348972953198,0.00557973693114235,0.07139009467919828
10,0.07692307692307693,0.1216919802905218,0.11150250735985079,0.10779200428928724,0.0,0.08358191377254735
11,0.0,0.1428012769105358,0.08476194878262623,0.21133797257057396,0.01699301147107102,0.0911788419469614
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.038461538461538464,0.08524684736912626,0.029767533857399123,0.2321407377397922,0.0035104598090331656,0.07782542344737783
14,0.0,0.05813041855641937,0.035865715720510456,0.3202282533104611,0.010520163832008303,0.08494891028387985
15,0.0,0.003910544599483786,0.23438642589585798,0.037862500892466205,0.0,0.05523189427756159
16,0.0,0.10476096221342529,0.07617601677644868,0.08540900872235224,0.002952836766076892,0.05385976489566062
17,0.0,0.09658766227765703,0.1009293290428564,0.05691464697164457,0.0,0.050886327658431596
18,0.0,0.06355851807539656,0.06303323509967909,0.16021610896097732,4.285826569786427e-08,0.05736158099886374
19,0.15384615384615385,0.08878701169838595,0.009002661593127747,0.03427326447318492,0.0,0.05718181832217049
20,0.0,0.05890859819799176,0.00035585839230139533,0.02329099982880061,0.0,0.016511091283818752
21,0.07692307692307693,0.676154746073085,0.0633088214086711,1.0,0.0,0.36327732888096664
22,0.0,0.021788195791950838,0.0020116067203231032,0.389907929077378,0.0,0.08274154631793038
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.29382489988823884,0.007237431059330251,0.26333327560002645,0.06797204588428409,0.1264735304863759
25,0.10256410256410256,0.08418396835434865,0.003310648571355031,0.25470870857131545,0.0014985418492618524,0.0892531939820767
26,0.15384615384615385,0.13961677799022648,0.04460747773389738,0.06830546786929771,0.0,0.08127517548791509
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.1766796076549529,0.03857500285312497,0.0971638711886202,0.0,0.06248369633933961
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.04907925927239069,0.26693330021596,0.2740735789755009,0.0,0.11801722769277032
31,0.0,0.0,0.0,0.0,0.0,0.0
