feature,rf,et,gbc,Adaboost,Lasso,mean
1,0.022402241208530443,0.0030061976020904395,0.0018163575182433798,5.684661090461472e-05,0.0,0.005456328587953775
2,0.2374607220787554,0.003386728944127204,0.07466829293570525,0.0,0.0,0.06310314879171756
3,0.10263261802028935,0.0019668563893602913,0.09307447320800073,0.006378021436974376,0.14405038385667798,0.06962047058226055
4,0.05731399387295723,7.681303927123469e-06,0.02263819153312545,0.0,0.0,0.015991973342001958
5,0.0037572381652182076,0.0,0.03159477056054364,0.004462927590205368,0.6477353949727584,0.13751006625774514
6,0.09522283640446913,2.9871737494369054e-06,0.01864952149112093,0.001731025746955837,0.030101854180904837,0.029141644999440035
7,0.03089519507015766,4.160706293858546e-06,0.023290979010994983,0.0009376257817202702,0.3244201769229522,0.07590962749842381
8,0.06795098723722627,0.0004979770776617924,0.017112401321130982,0.0013559104836081348,0.058996178311703486,0.029182690886266134
9,0.0358202690102717,0.0,0.0411361249201047,0.0011226524693443358,0.04249346985969349,0.024114503251882843
10,0.019434123005517764,5.760977945342603e-06,0.03151126514133384,0.0003019132305272867,0.23421432057189934,0.05709347658544471
11,0.1094003765230039,2.2403803120776783e-06,0.16212043917779181,0.0,0.46214467575595786,0.14673354636741315
12,0.03515562614517035,4.480760624155358e-06,0.04257554794708712,0.013361318908310304,0.8768406302583895,0.1935875208039163
13,0.23536843167667398,6.401086605936225e-06,0.04532762283399637,5.388746151256457e-05,0.0,0.056151268611757774
14,0.05907123435203266,0.021909652061196144,0.04336983649906079,0.015092832633764972,0.06255928955999059,0.04040056902120903
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.03903762697973809,0.003163047454704233,0.02036601640752607,0.001498409253137378,0.0,0.012813020019021154
17,0.23231153928755024,4.267391070624149e-06,0.07430004622287914,6.892876591623553e-05,0.0,0.06133695633348325
18,0.20278824153833727,6.401086605936226e-06,0.046893454438602974,0.0,0.005306591927732648,0.05099893779825576
