feature,p_value,score,BayesianRidge,gbc,xgb,rf,lgbm,mean
p1_M,0.17160884899756243,1.8756725873637075,0.0,0.0,0.0,0.0,0.0,0.0
p1_P,0.0005650642016939821,12.084860053591285,0.06239753155172448,0.0032932716680388395,0.0004610035,0.018931739535667097,0.0,0.01701670925314237
p1_Q,9.370298937254321e-08,29.59751347474854,0.007065872530462758,0.002114646953989229,0.0010159387,0.006623510140781642,0.0,0.00336399366545461
p2_N,0.29849066161666943,1.0837927071822882,0.0,0.0,0.0,0.0,0.0,0.0
p3_GAP,0.2984906616166187,1.0837927071825888,0.0,0.0,0.0,0.0,0.0,0.0
p4_T,0.18251932660749623,1.7832854912254055,0.0,0.0,0.0,0.0,0.0,0.0
p5_GAP,0.18251932660744064,1.7832854912258407,0.0,0.0,0.0,0.0,0.0,0.0
p6_GAP,0.18251932660744064,1.7832854912258407,0.0,0.0,0.0,0.0,0.0,0.0
p7_GAP,0.18251932660744064,1.7832854912258407,0.0,0.0,0.0,0.0,0.0,0.0
p7_I,0.8800438946811582,0.022804561618894676,0.0,0.0,0.0,0.0,0.0,0.0
p7_K,0.6974753953132817,0.15133302957613037,0.0,0.0,0.0,0.0,0.0,0.0
p7_L,0.39694796915049424,0.7191228080973943,0.0,0.0,0.0,0.0,0.0,0.0
p7_NDMVA,0.3720252916656128,0.7987133476062457,0.0,0.0,0.0,0.0,0.0,0.0
p7_P,0.1877457700664842,1.7412733018912216,0.0,0.0,0.0,0.0,0.0,0.0
p7_Q,0.000532715622054209,12.19822944020009,0.05801112728021816,0.011656772205464128,0.0027224885,0.006895832825437783,0.03333333333333333,0.02252391082557349
p7_S,7.215921306913613e-10,39.908077703137096,0.09484389873628753,0.0009228759255136731,0.00013494254,0.008358191243923539,0.0,0.020851981689906807
p8_F,0.586952421036752,0.2956156930847932,0.0,0.0,0.0,0.0,0.0,0.0
p8_GAP,0.18251932660744064,1.7832854912258407,0.0,0.0,0.0,0.0,0.0,0.0
p8_N,0.9432521072194573,0.0050735036155746035,0.0,0.0,0.0,0.0,0.0,0.0
p8_Y,0.9167625245608173,0.010936953236482602,0.0,0.0,0.0,0.0,0.0,0.0
p9_GAP,0.18251932660744064,1.7832854912258407,0.0,0.0,0.0,0.0,0.0,0.0
