	Lambda_Max	Species	Opsin_Family	Phylum	Class	Accession	Mutations	RefId
Bovine	500.0000	Bos_tarus	Rh1	Chordata	Mammalia	NM_001014890
S1	502.00000	Neoniphon_sammara	Rh1	Chordata	Actinopteri	U57536.1	160
S2	502.00000	Neoniphon_argenteus	Rh1	Chordata	Actinopteri	U57540.1	160
S3	481.00000	Neoniphon_aurolineatus	Rh1	Chordata	Actinopteri	U57541.1	160
S4	494.00000	Sargocentron_punctatissimum	Rh1	Chordata	Actinopteri	U57543.1	160
S5	494.00000	Sargocentron_microstoma	Rh1	Chordata	Actinopteri	U57542.1	160
S6	491.00000	Sargocentron_diadema	Rh1	Chordata	Actinopteri	U57537.1	160
S7	486.00000	Sargocentron_xantherythrum	Rh1	Chordata	Actinopteri	U57546.1	160
S8	490.00000	Sargocentron_spiniferum	Rh1	Chordata	Actinopteri	U57544.1	160
S9	490.00000	Sargocentron_tiere	Rh1	Chordata	Actinopteri	U57545.1	160
S10	499.00000	Myripristis_violacea	Rh1	Chordata	Actinopteri	U57539.1	160
S11	493.00000	Myripristis_berndti	Rh1	Chordata	Actinopteri	U57538.1	160
S12	498.00000	Altolamprologus_calvus	Rh1	Chordata	Actinopteri	AB458132.1	163
S13	495.00000	Aulonocara_sp.	Rh1	Chordata	Actinopteri	AB185214.1	163
S14	499.00000	Altolamprologus_calvus	Rh1	Chordata	Actinopteri	AB084924.1	163
S15	492.00000	Baileychromis_centropomoides	Rh1	Chordata	Actinopteri	AB185217.1	163
S16	501.00000	Bathybates_fasciatus	Rh1	Chordata	Actinopteri	AB185218.1	163
S17	488.00000	Benthochromis_tricoti	Rh1	Chordata	Actinopteri	AB084927.1	163
S18	487.00000	Cyphotilapia_frontosa	Rh1	Chordata	Actinopteri	AB084929.1	163
S19	498.00000	Cyprichromis_leptosoma	Rh1	Chordata	Actinopteri	AB084930.1	163
S20	502.00000	Dimidiochromis_compressiceps	Rh1	Chordata	Actinopteri	AB084931.1	163
S21	500.00000	Diplotaxodon_macrops	Rh1	Chordata	Actinopteri	AB185220.1	163
S22	497.00000	Gnathochromis_permaxillaris	Rh1	Chordata	Actinopteri	AB084932.1	163
S23	488.00000	Greenwoodochromis_bellcrossi	Rh1	Chordata	Actinopteri	AB185221.1	163
S24	501.00000	Haplochromis_sp.	Rh1	Chordata	Actinopteri	AB084933.1	163
S25	504.00000	Haplotaxodon_microlepis	Rh1	Chordata	Actinopteri	AB458142.1	163
S26	496.00000	Hemibates_stenosoma	Rh1	Chordata	Actinopteri	AB185222.1	163
S27	500.00000	Labidochromis_caeruleus	Rh1	Chordata	Actinopteri	AB084934.1	163
S28	498.00000	Limnochromis_staneri	Rh1	Chordata	Actinopteri	AB185225.1	163
S29	505.00000	Oreochromis_niloticus	Rh1	Chordata	Actinopteri	AB084938.1	163
S30	500.00000	Pallidochromis_tokolosh	Rh1	Chordata	Actinopteri	AB185229.1	163
S31	490.00000	Perissodus_elaviae	Rh1	Chordata	Actinopteri	AB185230.1	163
S32	498.00000	Pseudotropheus_sp.	Rh1	Chordata	Actinopteri	GQ422475.1	163
S33	502.00000	Spathodus_erythrodon	Rh1	Chordata	Actinopteri	AB084941.1	163
S34	484.00000	Trematocara_unimaculatum	Rh1	Chordata	Actinopteri	AB185238.1	163
S35	488.00000	Trematocara_macrostoma	Rh1	Chordata	Actinopteri	AB084945.1	163
S36	501.00000	Tropheus_duboisi	Rh1	Chordata	Actinopteri	AB084946.1	163
S37	488.00000	Xenotilapia_nigrolabiata	Rh1	Chordata	Actinopteri	AB458130.1	163
S38	491.00000	Xenotilapia_caudafasciata	Rh1	Chordata	Actinopteri	AB458131.1	163
S39	503.00000	Xenotilapia_ochrogenys	Rh1	Chordata	Actinopteri	AB084947.1	163
S40	497.90000	Tachyglossus_aculeatus	Rh1	Chordata	Mammalia	JX103830	116
S41	500.00000	Cyprichromis_leptosoma	Rh1	Chordata	Actinopteri	AB458118.1	164
S42	491.00000	Paracyprichromis_brieni	Rh1	Chordata	Actinopteri	AB458120.1	164
S43	497.00000	Xenotilapia_papilio	Rh1	Chordata	Actinopteri	AB457996.1	164
S44	494.00000	Paracyprichromis_brieni	Rh1	Chordata	Actinopteri	AB458121.1	164
S45	493.00000	Neolamprologus_ventralis	Rh1	Chordata	Actinopteri	AB458138.1	164
S46	492.00000	Paracyprichromis_nigripinnis	Rh1	Chordata	Actinopteri	AB458122.1	164
S47	489.00000	Cyprichromis_pavo	Rh1	Chordata	Actinopteri	AB458119.1	164
S48	501.00000	Rod_ancestor_pigmenta	Rh1	Chordata	Ancestor	pigmenta	127
S49	501.00000	Rod_ancestor_pigmentb	Rh1	Chordata	Ancestor	pigmentb	127
S50	501.00000	Rod_ancestor_pigmentc	Rh1	Chordata	Ancestor	pigmentc	127
S51	501.00000	Rod_ancestor_pigmentd	Rh1	Chordata	Ancestor	pigmentd	127
S52	482.00000	Rod_ancestor_pigmente	Rh1	Chordata	Ancestor	pigmente	127
S53	502.00000	Rod_ancestor_pigmentf	Rh1	Chordata	Ancestor	pigmentf	127
S54	501.00000	Rod_ancestor_pigmentg	Rh1	Chordata	Ancestor	pigmentg	127
S55	502.00000	Rod_ancestor_pigmenth	Rh1	Chordata	Ancestor	pigmenth	127
S56	496.00000	Rod_ancestor_pigmenti	Rh1	Chordata	Ancestor	pigmenti	127
S57	485.00000	Rod_ancestor_pigmentj	Rh1	Chordata	Ancestor	pigmentj	127
S58	486.00000	Rod_ancestor_pigmenti	Rh1	Chordata	Ancestor	pigmentk	127
S59	486.00000	Conger_myriaster	Rh1	Chordata	Actinopteri	AB043817.1	127
S60	485.00000	Latimeria_chalumnae	Rh1	Chordata	Sarcopterygii	AH007712.2	127
S61	496.00000	Loxodonta_africana	Rh1	Chordata	Mammalia	AY686752.1	127
S62	483.00000	Sebastolobus_altivelis	Rh1	Chordata	Actinopteri	DQ490124	127
S63	526.00000	Aristostomias_scintillans	Rh1	Chordata	Actinopteri	EU407248.1	127
S64	489.00000	Chauliodus_macouni	Rh1	Chordata	Actinopteri	EU407250.1	127
S65	492.00000	Stenobrachius_leucopsarus	Rh1	Chordata	Actinopteri	EU407251.1	127
S66	507.00000	Lepidopus_fitchi	Rh1	Chordata	Actinopteri	EU407252.1	127
S67	486.00000	Lepidopus_fitchi	Rh1	Chordata	Actinopteri	EU407253.1	127
S68	491.00000	Anolis_carolinensis	Rh1	Chordata	Lepidosauria	L31503	127
S69	479.00000	Anguilla_japonica	Rh1	Chordata	Actinopteri	LC464070.1	127
S70	504.00000	Astyanax_mexicanus	Rh1	Chordata	Actinopteri	U12328.1	127
S71	483.00000	Sebastolobus_altivelis	Rh1	Chordata	Actinopteri	DQ490124.1	120
S72	489.00000	Tursiops_truncatus	Rh1	Chordata	Mammalia	NM_001280659.1	286
S73	524.00000	Tursiops_truncatus	LWS	Chordata	Mammalia	XM_019933644.2	286
S74	467.00000	Gekko_gekko	Rh2	Chordata	Lepidosauria	M92035	121
S75	452.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223053.1	121
S76	496.00000	Anolis_carolinensis	Rh2	Chordata	Lepidosauria	NM_001291394.1	121
S77	467.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087805.2	138
S78	476.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087806.2	138
S79	488.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087807.1	138
S80	505.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087808.2	138
S81	536.00000	Petromyzon_marinus	LWS	Chordata	Hyperoartia	EU571209.1	133
S82	501.00000	Petromyzon_marinus	Rh1	Chordata	Hyperoartia	AH005459.2	133
S83	562.80000	Carassius_auratus	LWS	Chordata	Actinopteri	L11867.1	133
S84	463.00000	Cottus_gobio	SWS2	Chordata	Actinopteri	AJ430489.1	129
S85	359.00000	Carassius_auratus	SWS1	Chordata	Actinopteri	D85863.1	132
S86	355.00000	Danio_rerio	SWS1	Chordata	Actinopteri	AB087810.1	132
