,Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE,Ranked_By
0,wds,H1_H2_H3_P1_P2_V_SASA_SCT_PKA_PKB_,gbr,0.9688362369860076,5.815974977542249,0.0133257120745728,118.47653460905876,10.772182211208346,R2
1,wds,H1_H2_H3_P2_V_SCT_PKA_,xgb,0.9686995760799526,5.584712979414436,0.0126408786659173,119.00564218669092,10.69493842912814,R2
2,wds,H1_H2_H3_P1_P2_V_MASS_SASA_SCT_,gbr,0.9686985604773628,5.937825587941569,0.0136026045237552,118.39974135653776,10.72928000859051,R2
3,wds,H1_H2_NCI_MASS_SASA_PKB_,gbr,0.968594946385093,5.883918457727545,0.0135093293459132,119.66574585807302,10.794597307393609,R2
4,wds,H1_H2_H3_MASS_SASA_SCT_PKB_,gbr,0.9684794427589424,5.736123931366432,0.0131157808057303,119.71938566992864,10.731194161957958,R2
5,wds,H1_P2_SCT_,rf,0.9635491958491548,5.525468992140149,0.0123282707415092,137.93878699062324,11.372964612497311,MAE
6,wds,H1_SASA_SCT_,rf,0.963176263844606,5.536853251656469,0.0123768351821893,139.2146535129761,11.4365659467269,MAE
7,wds,H2_P2_V_SASA_,xgb,0.9671216924073393,5.539737387068284,0.0125353676793902,125.16899840926928,10.963955802189592,MAE
8,wds,H1_H2_H3_P2_V_SASA_SCT_,xgb,0.9670996562854092,5.54183286336015,0.0125247976588952,124.94583086943295,10.868226838364738,MAE
9,wds,H1_H2_H3_P2_V_SCT_,xgb,0.9674394292027684,5.546996499556746,0.0125251966136059,123.75166785139344,10.785950538628173,MAE
10,wt,H1_H3_P1_NCI_PKA_,gbr,0.9393060576713632,7.988285768380178,0.017367251935728,176.98395508648792,13.12813282502446,R2
11,wt,H2_H3_P1_NCI_PKA_,gbr,0.939213533030174,8.014394883168046,0.0172760373108697,180.6592768912793,13.045879788465882,R2
12,wt,H1_P1_P2_NCI_MASS_PKA_PKB_,gbr,0.9387094314363214,8.195275004467378,0.0176290000610379,181.60847226442772,13.255662214940546,R2
13,wt,H1_H2_H3_P1_NCI_SCT_PKB_,gbr,0.9384935571109428,7.955589667865325,0.0172640854242861,179.50340030255478,13.23363541662485,R2
14,wt,H1_H2_H3_P1_MASS_SASA_PKA_PKB_,gbr,0.9382269880245916,7.901994495967652,0.0169492967294779,185.2981776561513,13.198679074559186,R2
15,wt,H1_H3_P2_NCI_SASA_SCT_,gbr,0.9356545670050422,7.836841026025757,0.0171320678948889,191.196628193599,13.546976628997944,MAE
16,wt,H1_V_PKA_PKB_,gbr,0.9376206087666076,7.890320336674487,0.0171398042121134,181.8886536515861,13.2377690529176,MAE
17,wt,H1_H2_H3_P1_MASS_SASA_PKA_PKB_,gbr,0.9382269880245916,7.901994495967652,0.0169492967294779,185.2981776561513,13.198679074559186,MAE
18,wt,H3_PKA_,gbr,0.931147141386735,7.925474034481425,0.0171765755393547,208.02000125909188,13.936482944962966,MAE
19,wt,H1_P1_P2_V_NCI_PKA_,gbr,0.933588170121643,7.939524162339941,0.0172354410108574,198.462460961399,13.866247038000688,MAE
20,vert,H2_H3_NCI_SCT_PKB_,xgb,0.9808077460575076,4.935294847404431,0.0109160094844498,73.0041310148437,8.39203921563066,R2
