	Lambda_Max	Species	Opsin_Family	Phylum	Accession
Squid	473.0000	Todarodes_pacificus	Rh1	Mollusca	X70498
S1	571.00000	Papilio_xuthus	Rh3	Arthropoda	AB007425.1
S2	540.00000	Papilio_xuthus	Rh1	Arthropoda	AB007423.1
S3	538.00000	Papilio_xuthus	Rh1,Rh3	Arthropoda	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_379
S4	542.00000	Papilio_xuthus	Rh1,Rh3	Arthropoda	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_379
S5	547.00000	Papilio_xuthus	Rh1,Rh3	Arthropoda	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_379
S6	561.00000	Papilio_xuthus	Rh1,Rh3	Arthropoda	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_379
S7	565.00000	Papilio_xuthus	Rh1,Rh3	Arthropoda	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_379
S8	569.00000	Papilio_xuthus	Rh1,Rh3	Arthropoda	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_280-AB007425.1_281_303-AB007423.1_304_379
S9	542.00000	Papilio_xuthus	Rh1,Rh3	Arthropoda	AB007423.1_1_91-AB007425.1_92_114-AB007423.1_115_379
