feature,p_value,score,xgb,BayesianRidge,rf,gbc,lgbm,mean
p1_GAP,0.06851762626085582,3.3661365460313015,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,0.0007350326066320617,11.880271684426928,6.4519205e-05,0.2496195371463138,0.0007425477987289196,0.000514236408793933,0.0,0.05018816811174689
p1_M,1.6268856051696372e-06,24.922294132816855,4.4618e-05,0.10365225586219394,0.001508425404804563,0.00030045861572540407,0.06666666666666667,0.03443448490954922
p1_P,0.13914137250768238,2.210702118434779,0.0,0.0,0.0,0.0,0.0,0.0
p1_TQHYSGA,0.005316137550622022,7.998952380719219,0.0006050682,0.14451709216930334,0.04029354368270956,0.000728887630904379,0.0,0.03722891834213183
p2_GAP,0.637107456090904,0.22344833272993195,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.016534650805788222,5.875530168638576,9.2946015e-09,0.05607652995300563,0.0001333833585859613,5.14029121329388e-07,0.0,0.011242087327062892
p2_N,0.19040126808861854,1.730026621670243,0.0,0.0,0.0,0.0,0.0,0.0
p2_QTLPYF,0.28622229310864145,1.1453981091789014,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,4.542763807952263e-21,121.24400872189061,0.00043283738,0.10610462610134068,0.5432585429982576,0.04779029766942032,0.0,0.13951726082903135
p3_E,1.503715834816546e-07,30.37303514193152,2.8812827e-05,0.07176779324882401,0.0044402416718769995,0.00040957796171332535,0.0,0.015329285141825461
p3_G,0.1593702142492621,1.9998798558341297,0.0,0.0,0.0,0.0,0.0,0.0
p3_GAP,0.8174962353776345,0.053439235843261705,0.0,0.0,0.0,0.0,0.0,0.0
p3_S,0.027225918023489337,4.972682059026148,3.5817862e-05,0.058852176460389836,0.027418591247306015,0.003212003029604888,0.0,0.017903717719905426
p3_TKYRLQFV,0.07738408821004265,3.1619818863024864,0.0,0.0,0.0,0.0,0.0,0.0
p4_GAP,9.819925647076636e-10,42.54360374516897,4.696969e-05,0.09339797857983251,0.0010060144247962938,2.5325075500307008e-05,0.3333333333333333,0.08556192422063645
p4_I,0.03433103031007371,4.560468624795982,6.364453e-05,0.04910913992449577,0.0004916158220727124,8.677351386443332e-05,0.0,0.009950234758672417
p4_M,0.17654479056593994,1.8436888312646356,0.0,0.0,0.0,0.0,0.0,0.0
p4_R,2.004166297374577e-07,29.704878355040982,2.6502352e-07,0.015580996002719186,0.12068932337124556,0.000135177895864765,0.0,0.027281152458669106
p4_S,0.00012011590160269113,15.5931811481053,0.064779244,0.21163500905166427,0.05373192423016285,6.255815579734661e-06,0.0,0.06603048669214297
p4_T,0.010262326405164408,6.757391814183252,0.00022806488,0.2132792875836407,0.05762263095287152,0.010305997774356293,0.0,0.05628719623754665
p4_VAPE,0.9833692277015469,0.0004359596449543887,0.0,0.0,0.0,0.0,0.0,0.0
p5_E,0.0047784878381216265,8.202755058714008,1.027908e-06,0.15961423469922545,0.00037268888868427155,9.462258074763914e-05,0.0,0.03201651481532269
p5_GAP,5.953320315013556e-11,49.71359585194982,0.000976246,0.1079007143042523,0.0017177359406591794,0.0009643295055260503,0.0,0.022311805155077028
p5_H,0.40650900375736854,0.6928564673262029,0.0,0.0,0.0,0.0,0.0,0.0
p5_KPTAVS,0.2586845093214602,1.2854524758286565,0.0,0.0,0.0,0.0,0.0,0.0
p5_M,0.09557120873652063,2.8130175573762646,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,0.006180322026691339,7.712210394096971,0.0,0.03260116814292443,0.0015302531883504215,0.0014906408586255412,0.0,0.007124412437980078
p5_R,0.00929560694209134,6.942346339752939,3.0232684e-07,0.13063346781046878,0.00348278556484714,7.369610162354415e-06,0.0,0.026824785062463476
