feature,BayesianRidge,gbc,lgbm,mean
1,0.16358826901013104,0.0016319974567467537,0.023809523809523808,0.06300993009213386
2,0.06932763991890305,9.869867031801374e-05,0.0,0.02314211286307369
3,0.2604016761367399,0.006041527804336545,0.023809523809523808,0.09675090925020009
4,0.12866619428306084,0.8041429374158072,0.30952380952380953,0.41411098040755917
5,0.07738870660619698,0.09261318108728811,0.023809523809523808,0.0646038038343363
6,0.09112201699398774,0.0001983262033575718,0.06349206349206349,0.05160413556313626
7,0.06932763991890305,9.869867031801374e-05,0.0,0.02314211286307369
8,0.23848814700028423,0.01737288552027185,0.011904761904761904,0.08925526480843933
9,0.16906473000090652,0.00018962808696417133,0.011904761904761904,0.06038637333087754
10,0.09948137267639058,0.00024343235445741247,0.05555555555555556,0.05176012019546785
11,0.17622972966502098,0.005675510703739585,0.05952380952380952,0.08047634996419002
12,0.0,0.0,0.0,0.0
13,0.05029583573091249,0.00017005361176700444,0.0,0.016821963114226495
14,0.14097640764027744,0.0007005248253225619,0.05714285714285714,0.06627326320281905
15,0.1859887256813937,0.006748797403636228,0.047619047619047616,0.08011885690135918
16,0.38745916330771013,0.03566422757874116,0.4523809523809524,0.2918347810891346
17,0.0642025440772394,0.0022161672816869453,0.0,0.022139570452975446
18,0.25141182074413415,0.003608213998818708,0.0,0.08500667824765096
19,0.1384797108005855,0.0990772434036056,0.4523809523809524,0.2299793021950478
20,0.5544225898515406,0.16794959357787953,0.3650793650793651,0.3624838495029284
21,0.8621623986881061,0.03372715605758614,0.8571428571428571,0.5843441372961831
22,0.19265139876464404,0.004751696911230527,0.0,0.0658010318919582
23,0.12282421332833601,0.005036884914056639,0.2857142857142857,0.1378584613188928
24,0.2322456166639151,0.00012976519176447125,0.023809523809523808,0.08539496855506779
25,0.439165515843865,0.034682501206329305,0.6785714285714286,0.3841398152072076
26,0.22478789789521827,0.02182492683964892,0.25595238095238093,0.16752173522908273
27,0.1725687053145558,0.00257474115196675,0.047619047619047616,0.07425416469519004
28,0.0,0.0,0.0,0.0
29,0.32729769232800554,0.04021876828133854,0.3333333333333333,0.2336165979808925
30,0.023169878384980736,0.004902457963732678,0.11904761904761904,0.049039985132110823
31,0.19201562859687502,0.012563429053559404,0.031746031746031744,0.07877502979882205
32,0.27879652557822254,0.022491370144034743,0.005952380952380952,0.10241342555821274
33,0.11377245186750515,0.003255345933472914,0.047619047619047616,0.054882281806675225
34,0.23233309594780394,0.012190586852550495,0.011904761904761904,0.08547614823503878
35,0.1948117299736332,0.030388639059836933,0.0,0.07506678967782338
36,0.19867098820655318,0.022481049439928128,0.0,0.07371734588216043
