feature,BayesianRidge,rf,gbc,lgbm,xgb,mean
1,0.10412574357374095,0.021510457918211864,0.03360440014841795,0.0,1.2875128959422e-05,0.03185069535386604
2,0.2536817466735858,0.062128876165317384,0.1534756177751213,0.0617283950617284,0.00043271598406136036,0.10628947033196286
3,0.0602004008835472,0.1758829612066497,0.08319553921032971,0.0,1.4717018530063797e-05,0.06385872366381133
4,0.10447004071716792,0.03367359197754145,0.0014511957084595397,0.0,0.00013709021732211113,0.0279463837240982
5,0.0512039429598135,0.006308915844737091,0.0016612707329599413,0.0,4.496388282859698e-05,0.011843818684067826
6,0.12328943466745361,0.12286214052606555,0.022659635160948325,0.018518518518518517,6.160663906484842e-05,0.05747826710241018
7,0.09620288668005463,0.04257149272248779,0.0008119924338429461,0.0,2.195819433836732e-06,0.02791771353116384
8,0.061722272117236625,0.01075254263211347,0.03064535949183099,0.046296296296296294,1.156834787252592e-05,0.02988560777706998
9,0.11966191808752873,0.042502077185332464,0.037096632404570486,0.0,4.353513941168785e-05,0.03986083256336867
10,0.08659366909863764,0.04259743300406826,0.009464866066739746,0.13580246913580246,2.282002242282033e-06,0.05489214386149808
11,0.1316040742934949,0.1423680939030742,0.022146709876298146,0.009259259259259259,1.0969630466206581e-06,0.061075846859034624
12,0.022132568223889242,0.0004941116590751928,3.231158527591769e-05,0.0,0.0,0.00453179829364807
13,0.06255816620558866,0.026250501550068844,0.009438585167209645,0.04938271604938271,1.3628503438667394e-05,0.029528719495137707
14,0.08127309872509263,0.041809905880847736,0.033779723913905386,0.0,4.102002094441559e-06,0.03137336610438804
15,0.04563009664441367,0.09003353086658318,0.03627789195523639,0.0,5.914124267292209e-05,0.03440013214178124
16,0.002861760309140372,0.0,1.452000604532729e-05,0.0,9.988505667024583e-08,0.0005752760400484739
17,0.1215150986764668,0.053786862068528854,0.010518567042723137,0.005291005291005291,0.00011048660962842405,0.0382444039376705
18,0.14980461513481055,0.45531899756976163,0.027870840941122372,0.04938271604938271,7.015206051619316e-07,0.13647557424313647
19,0.13060919828943549,0.08682903529707996,0.14891611015586068,0.0,3.026323247468099e-05,0.07327692139497015
