,Species,Opsin_Family,Accession,Lambda_Max,Prediction,Difference
S206,Oryzias_luzonensis,Rh2,LC260049,517.0,517.1542922926914,0.15429229269136613
S183,Platynereis_dumerilii,LWS,AY692353.1,383.0,382.80961083143353,-0.19038916856646892
S280,lwsanc_pigmentc_sp.,LWS,lwsanc_pigmentc,561.0,562.533760912421,1.5337609124210303
S48,Rod_ancestor_pigmenta,Rh1,pigmenta,501.0,502.179241264875,1.1792412648749746
S5,Sargocentron_microstoma,Rh1,U57542.1,494.0,493.1538095651951,-0.8461904348048961
S20,Dimidiochromis_compressiceps,Rh1,AB084931.1,502.0,500.3903542570607,-1.6096457429392785
S111,Carassius_auratus,Rh1,L11863.1,492.0,494.1832896049147,2.1832896049147053
S68,Anolis_carolinensis,Rh1,L31503,491.0,490.62085119570895,-0.3791488042910487
S282,lwsanc_pigmente_sp.,LWS,lwsanc_pigmente,558.0,557.9334533453,-0.06654665470000509
S142,Oryctolagus_cuniculus,MWS,AH006945.2,509.0,511.77902666994805,2.7790266699480526
S123,Gekko_gecko,Rh2,M92035.1,467.0,467.10462673506413,0.10462673506413012
S11,Myripristis_berndti,Rh1,U57538.1,493.0,494.04723357364276,1.0472335736427567
S45,Neolamprologus_ventralis,Rh1,AB458138.1,493.0,492.9154707146545,-0.08452928534552484
S218,Verasper_variegatus,SWS2,A0A1L7P082,416.0,415.81984292765617,-0.18015707234383171
S38,Xenotilapia_caudafasciata,Rh1,AB458131.1,491.0,490.76929228953105,-0.23070771046894833
S100,Loxodonta_africana,SWS1,AY686753.1,419.0,419.1532974675687,0.15329746756867735
S315,Drosophila_melanogaster,IV-RH,AF184224,345.0,346.00521177487985,1.0052117748798537
S305,Hydrophis_ornatus,Rh1,LC543606,490.0,488.3117010367598,-1.688298963240186
S79,Danio_rerio,Rh2,AB087806.2,467.0,471.67348776044423,4.673487760444232
S253,AncEutelo4_sp.,Rh2,AncEutelo4,524.0,523.4799396427833,-0.5200603572167211
S39,Xenotilapia_ochrogenys,Rh1,AB084947.1,503.0,498.4310149029779,-4.568985097022107
S120,Carassius_auratus,Rh2,L11865,511.0,511.03602175229094,0.03602175229093518
S177,Anolis_carolinensis,SWS1,AH007736,360.0,359.3093312612288,-0.6906687387711941
S294,Sympetrum_frequens,IV-LWS,LC009061,557.0,556.8721627779471,-0.1278372220529036
S240,Carassius_auratus,LWS,L11866.1,505.0,505.513665090632,0.5136650906320028
S232,Danio_rerio,Rh2,NM_182892.2,488.0,488.81627983116056,0.816279831160557
S250,AncEutelo1_sp.,Rh2,AncEutelo1,488.0,488.9978009304923,0.9978009304923035
S144,Rattus_norvegicus,MWS,AH006946.2,509.0,510.7135309320898,1.7135309320897818
S32,Pseudotropheus_sp.,Rh1,GQ422475.1,498.0,501.73317969874347,3.73317969874347
S125,Taeniopygia_guttata,Rh2,AF222330,505.0,505.48056155654683,0.4805615565468315
S194,Otolemur_crassicaudatus,LWS,AB112590.1,539.0,537.2869565883442,-1.7130434116558035
S236,Metriaclima_zebra,Rh2,DQ088652,484.0,482.59514302878216,-1.4048569712178391
