feature,p_value,score,rf,Adaboost,gbc,BayesianRidge,LassoLars,mean
p1_GAP,0.43352240758343275,0.6175465665255155,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,2.316603484458626e-05,19.41400696028381,0.007818332080107276,0.0,0.0,0.10262938321865732,0.0,0.02208954305975292
p1_M,0.0018118501624437076,10.18411170452185,0.0015154266298308332,0.0,0.004089574532188204,0.00018593245967010375,0.0,0.0011581867243378283
p2_DQLPY,0.024590324899231453,5.183420458509672,0.033224621675335714,4.18136308658948e-06,0.00120278264986854,0.17032868721041022,0.0,0.040952054579740216
p2_GAP,0.5139205384690455,0.42863991072503027,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.0005061747822673407,12.784457551191032,0.03082800858391924,0.0,7.266761600469074e-06,0.10193409317285229,0.0,0.026553873703674402
p2_N,6.659671234589296e-10,45.145667981743216,0.01347199867160542,0.0,0.0017854389269652156,0.09836291320549129,0.0,0.022724070160812383
p2_S,1.2526527751209463e-20,128.32719426113457,0.08120643927555876,0.0,0.0018456144887741542,0.007265466163902738,0.0,0.01806350398564713
p3_G,7.534962933676886e-19,111.99793293932491,0.0752025907426787,0.0002239411428781448,0.0,0.11385043400203208,0.05082499120237801,0.048020391417993386
p3_GAP,2.745143881442879e-23,154.94279058073036,0.12164313267691854,3.3424842041705226e-05,0.0,0.18613600191517354,0.0,0.06156251188682675
p4_E,9.95810542679e-10,44.06239634507605,0.002500033153280394,1.2853723350157943e-06,0.0005514083096747548,0.0650444800661967,0.0,0.013619441380297373
p4_G,0.7642971324319122,0.09031843164745042,0.0,0.0,0.0,0.0,0.0,0.0
p4_GAP,0.09796971456429886,2.7818110832921756,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.7181600061166882,0.13088285764585714,0.0,0.0,0.0,0.0,0.0,0.0
p4_R,0.0007891179059267982,11.86898749385047,0.0045935929552660985,0.0007837342759786817,0.003748689340865473,0.26215590050897347,0.0,0.05425638341621675
p4_S,0.04144068071397308,4.249472947778501,0.0003622198729686985,0.0,5.353604928026121e-05,0.04603325187601954,0.0,0.0092898015596537
p4_T,8.501486956206315e-12,57.391807099627336,0.02151652414184168,0.0,8.706326638762664e-05,0.08458973873364553,0.0,0.02123866522837497
p5_E,0.11864624198596939,2.470634045127638,0.0,0.0,0.0,0.0,0.0,0.0
p5_GAP,0.30507683966136984,1.060997374910738,0.0,0.0,0.0,0.0,0.0,0.0
p5_K,0.6372438918253249,0.22351061373385073,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,0.0010151354399079852,11.354404899360462,0.0017689093772889435,0.0,0.0007264448096665765,0.07590286393373204,0.0,0.015679643624137513
p5_R,0.17138476480648876,1.893562799849131,0.0,0.0,0.0,0.0,0.0,0.0
p6_GAP,7.856863758250902e-32,261.67270424383,0.17981616039704626,0.024635519379214425,2.7191912459828308e-05,0.1930000092842679,0.0,0.07949577619459769
p6_P,0.5982062680314644,0.27920584896999395,0.0,0.0,0.0,0.0,0.0,0.0
p6_Q,2.316603484458626e-05,19.41400696028381,0.007818332080107276,0.0,0.0,0.10262938321865732,0.0,0.02208954305975292
p6_RHF,0.2946026675658206,1.10821744282958,0.0,0.0,0.0,0.0,0.0,0.0
