feature,p_value,score,lgbm,gbc,rf,BayesianRidge,xgb,mean
p1_GAP,0.6888145102315749,0.16052212426747797,0.0,0.0,0.0,0.0,0.0,0.0
p1_L,4.99251939391573e-22,100.54267597652351,0.0,5.318292205012891e-05,0.0013728371534998895,0.019963966836809052,0.0,0.004277997382471814
p1_M,3.1470653036802573e-21,96.31691036092506,0.15555555555555556,0.00011632612870507722,0.000482934696338895,0.013729731288008673,5.9826134e-06,0.033978106056402044
p1_Q,0.0002995990059513746,13.22269273307533,0.022222222222222223,0.0002645417820747547,5.217291172701968e-05,0.03200513408196251,2.7663475e-06,0.010909367469098628
p2_GAP,0.6965941341997905,0.1521808233343803,0.0,0.0,0.0,0.0,0.0,0.0
p2_LQMDTPHYG,7.511213397821699e-08,29.63919572787602,0.08888888888888889,0.0015022848292647975,0.0021531704092586637,0.2538106884912444,1.5604837e-06,0.06927131862047624
p2_N,2.0651457360691642e-39,199.16278140898405,0.0,1.580275930668506e-05,0.016597813922799,0.04339834576331543,1.9560996e-06,0.012002783709003262
p2_S,5.4796102151978855e-124,913.794424791354,0.0,0.00016961587053382346,0.13375875447775926,0.00151341469984284,1.2916458e-06,0.027088615338796085
p3_G,2.2757781873048106e-83,514.5358904932351,0.0,0.0,0.004019241099660177,0.010140311015980808,9.469439e-07,0.0028320998119052134
p3_GAP,1.2587245010246956e-118,853.9273359029969,0.0,0.09173372696071838,0.16740299576741108,0.06260546034747795,4.667479e-06,0.0643493701109337
p3_KRPSQ,0.21173154761934174,1.5627765029337437,0.0,0.0,0.0,0.0,0.0,0.0
p4_G,1.1215942069939401e-11,47.90388682925558,0.06666666666666667,0.002394478039880942,0.0060820309125603315,0.10544981323330534,5.1159664e-06,0.03611962096375463
p4_GAP,0.37285553944122796,0.7952777002917978,0.0,0.0,0.0,0.0,0.0,0.0
p4_M,0.005506849345521591,7.759437331918091,0.0,0.0009212068830587477,0.005337951086787742,0.0031812576047793176,1.0511558e-06,0.001888293346080668
p4_R,7.369178977380111e-22,99.64677403897197,0.0,1.6168400134847072e-05,0.0009565584619691562,0.12219586964687386,6.909667e-07,0.024633857495138564
p4_SDAQPV,0.012384411331299932,6.2917992150440565,0.044444444444444446,1.74087246284709e-05,0.0004782681507513148,0.010761667500968538,6.253067e-05,0.011152863898384543
p4_T,8.964603074161406e-42,213.59993994265287,0.0,1.580275930668506e-05,0.016597813922799,0.04339834576331543,1.9560996e-06,0.012002783709003262
p5_E,1.6663372083603769e-06,23.395579667187587,0.022222222222222223,0.0001994068413803016,0.001627847991054128,0.009005395340912806,1.1260976e-05,0.006613226674304413
p5_GAP,0.7644838976461144,0.08983794285404338,0.0,0.0,0.0,0.0,0.0,0.0
p5_H,6.602956490281198e-11,44.17234253258664,0.06666666666666667,0.00011891159506266567,0.0004939218803144305,0.00883163185108852,1.7826418e-06,0.015222582926984227
p5_K,0.0481494944533288,3.920275901537362,0.0,5.824084869970552e-05,0.00872879810225475,0.020620111396153273,1.3213015e-06,0.0058816943297237195
p5_Q,8.92389796607523e-09,33.989573420330665,0.044444444444444446,0.0015465169698569297,0.0009672836135446332,0.08861972762303147,0.0,0.027115594530175497
p5_R,0.00038440015633769324,12.74616354631156,0.0,0.0007859620147943978,0.0008838769507833071,0.09038548385565033,8.663769e-06,0.018412797318090014
p6_GAP,7.838145095193875e-125,923.4449491368846,0.0,4.980183708670151e-05,0.2094988194302791,0.1041817801120092,0.0,0.062746080275875
p6_HFMK,0.15326686865732916,2.0444483679956185,0.0,0.0,0.0,0.0,0.0,0.0
p6_P,0.062443549735238565,3.4838356745534695,0.0,7.378392849610932e-05,0.00264598529078373,0.025369535938270443,3.232907e-07,0.005617925689648455
p6_Q,1.0697390061207962e-22,104.09901210011373,0.0,5.318292205012891e-05,0.0013728371534998895,0.019963966836809052,0.0,0.004277997382471814
p6_R,3.505451422359264e-11,45.502089335964996,0.0,0.00014422988181929722,0.00029244947465472543,0.08426153577746241,5.0120147e-05,0.016949667056112283
p7_D,2.2489373977702656e-18,81.45027970766323,0.08888888888888889,7.28998749736823e-05,0.0023273201231004976,0.0326239986211818,3.816749e-06,0.024783384851446107
p7_E,1.8386494707460472e-43,224.07443377922078,0.022222222222222223,3.0367217892848375e-06,0.03836567263466017,0.07977872425652627,7.13536e-05,0.02808820188687885
p7_GNLMV,7.222964539933578e-05,15.96667832452057,0.022222222222222223,0.00016876132796185458,0.0007594612355338243,0.018228371823283736,7.3580377e-06,0.008277234929338734
p7_I,0.0019874559309160673,9.643143420274603,0.044444444444444446,0.00017492727418323668,0.00016963350859029527,0.01604880961907838,1.3073933e-05,0.01217017775579483
p7_K,0.0017781257022615757,9.850992605314996,0.022222222222222223,8.69919800201357e-05,0.0009616325104197994,0.01870067182620485,1.966044e-06,0.008394696916575453
p7_P,1.6461769467896962e-17,77.0140465766038,0.1111111111111111,4.559909851427056e-05,6.269743780664223e-05,0.009968315515029674,1.116891e-05,0.024239778414416928
p7_Q,0.0012955606253055162,10.444325436820483,0.0,3.697970948075661e-05,0.00012276427658135163,0.04407841459696517,2.5874901e-06,0.00884814921463424
p7_S,9.39221949507941e-15,63.078686901214326,0.022222222222222223,0.0031036901835244223,0.0009796906362118697,0.02194040704023684,3.6670071e-06,0.009649935417868969
p8_E,3.620927633297902e-21,95.99607472742977,0.022222222222222223,0.001137247737547199,0.007388556107715033,0.08659133563700905,3.2462135e-06,0.02346852158360061
p8_FWAGMHT,0.3404330689215235,0.9102026329602989,0.0,0.0,0.0,0.0,0.0,0.0
p8_N,5.9420007549995224e-30,143.876104293716,0.08888888888888889,0.00038692926944681403,0.02415117124686915,0.10626369859096393,1.9146505e-06,0.043938520529335966
p8_S,1.2802882816009697e-34,170.6558980551153,0.0,0.017875437103372444,0.03259984884221262,0.07250504011875271,0.01300815,0.02719769526728183
p8_Y,0.0007198582780568397,11.552977987567433,0.0,9.453153007484553e-05,9.166023583081865e-05,0.011004701362496452,2.6284001e-06,0.002238704305705444
p9_I,1.0091576274759868e-22,104.23396298771455,0.0,5.318292205012891e-05,0.0013728371534998895,0.019963966836809052,0.0,0.004277997382471814
p9_VLATMY,3.682845131344592e-05,17.2787069372884,0.26666666666666666,0.00020717934601227527,0.0002464890721978903,0.027159289858481903,6.470392e-05,0.0588688657725985
p10_HWLV,3.636244124215607e-05,17.303583534224405,0.0,0.0015626314427491,0.000939345686579087,0.08668711990916214,5.2639287e-08,0.017837829935555407
p10_Y,1.4535607366632523e-13,57.16315826122144,0.044444444444444446,5.904163731292991e-06,0.01557870168345329,0.009106074365344132,0.0,0.013827024931394632
p11_L,9.326143119335845e-170,1534.971436345557,0.08888888888888889,0.07929025290735628,0.4105297615286927,0.1422768186674098,0.5402483,0.2522467993591019
p11_MQRA,0.0026906505336453303,9.079414138738528,0.0,0.004475495495002921,0.001008492735001288,0.060328204223784224,6.662795e-06,0.013163771049743863
p11_T,1.4853288849422861e-31,152.9627712424654,0.0,0.017875437103372444,0.03259984884221262,0.07250504011875271,0.01300815,0.02719769526728183
p11_V,5.48430220455737e-34,166.97427149862577,0.022222222222222223,6.4432365596826354e-06,0.03388319206172886,0.08846033364196566,1.6436214e-06,0.02891476695678148
p12_P,1.5848999029486264e-29,141.47825111694814,0.0,0.01625705183542321,0.018143512701697406,0.038389485316513976,0.0,0.014558009970726921
p13_GAP,4.224110617497702e-39,197.2826096956199,0.044444444444444446,4.65168783477661e-06,0.005638304805688027,0.09273304499751928,1.1004802e-06,0.028564309283132572
p13_I,0.0014287756892858736,10.260596707476031,0.0,3.910774404590831e-06,0.008162335782464628,0.056020684116401515,4.335004e-08,0.012837394804661792
p13_L,0.0008020296718832826,11.348368985191403,0.044444444444444446,0.00014821993960371826,0.00019271357159468273,0.0439899450914742,1.286863e-06,0.01775532198203126
p13_M,1.0880731552752063e-20,93.48465004016467,0.044444444444444446,1.8372628980686534e-05,0.0008032714146524743,0.0399988117459516,1.3869004e-05,0.01705575384757607
p13_V,0.3702286493837723,0.8040674282654705,0.0,0.0,0.0,0.0,0.0,0.0
p14_GAP,3.1538903416129717e-52,280.6565327896259,0.0,0.07412468360465181,0.05952581324090682,0.061590831993105756,0.0,0.039048265767732876
p14_IA,0.27187891600284414,1.2093978610629008,0.0,0.0,0.0,0.0,0.0,0.0
p14_T,0.13713930038591876,2.215508471309474,0.0,0.0,0.0,0.0,0.0,0.0
p14_V,0.007865877740669928,7.10998522060241,0.022222222222222223,1.15086845827778e-05,0.000797794019626114,0.03478643323689863,0.0,0.011563591632665949
p14_Y,5.273050924015986e-34,167.07344609729415,0.0,0.017875437103372444,0.03259984884221262,0.07250504011875271,0.01300815,0.02719769526728183
p15_GDEPLH,3.9773956844917895e-08,30.932785384810494,0.044444444444444446,0.0023044474186537955,0.00036003075371284496,0.08121973509603855,2.0069174e-05,0.02566974537733848
