,Accession,full_species,prediction_value,closest_measurement,abs_diff,max_id
0,GQ422482.1,Pundamilia_nyererei,524.3,535.0,10.700000000000045,438
1,AY673768.1,Pundamilia_nyererei,496.8,505.0,8.199999999999989,436
2,AY673763.1,Pundamilia_nyererei,453.1,451.0,2.1000000000000227,437
3,AY673756.1,Pundamilia_nyererei,520.7,535.0,14.299999999999955,438
4,AY673738.1,Pundamilia_nyererei,496.8,505.0,8.199999999999989,436
5,AY673708.1,Pundamilia_nyererei,424.1,451.0,26.899999999999977,437
6,AY673688.1,Pundamilia_nyererei,552.5,562.0,9.5,439
7,GQ422522.1,Pundamilia_nyererei,485.0,505.0,20.0,436
8,JF823570.1,Poecilia_formosa,519.6,504.0,15.600000000000023,199
9,JF823569.1,Poecilia_formosa,556.9,560.0,3.1000000000000227,203
10,JF823567.1,Poecilia_formosa,534.4,560.0,25.600000000000023,203
11,JF823566.1,Poecilia_formosa,532.5,560.0,27.5,203
12,JF823565.1,Poecilia_formosa,554.5,560.0,5.5,203
13,JF823564.1,Poecilia_formosa,544.8,560.0,15.200000000000045,203
14,JF823562.1,Poecilia_formosa,530.7,504.0,26.700000000000045,199
15,JF823561.1,Poecilia_formosa,531.2,504.0,27.200000000000045,199
16,JF823556.1,Poecilia_latipinna,519.6,503.0,16.600000000000023,186
17,JF823554.1,Poecilia_latipinna,532.5,551.0,18.5,189
18,JF823553.1,Poecilia_latipinna,556.9,551.0,5.899999999999977,189
19,JF823552.1,Poecilia_latipinna,531.2,551.0,19.799999999999955,189
20,JF823555.1,Poecilia_mexicana,519.6,504.0,15.600000000000023,193
21,JF823560.1,Poecilia_mexicana,534.9,537.0,2.1000000000000227,197
22,JF823559.1,Poecilia_mexicana,530.7,537.0,6.2999999999999545,197
23,JF823558.1,Poecilia_mexicana,544.8,537.0,7.7999999999999545,197
24,JF823557.1,Poecilia_mexicana,558.6,563.0,4.399999999999977,198
25,ON623870.1,Lutjanus_erythropterus,556.7,540.0,16.700000000000045,535
26,MW681828.1,Lutjanus_erythropterus,471.9,496.0,24.100000000000023,532
27,MW681827.1,Lutjanus_erythropterus,512.6,527.0,14.399999999999977,534
28,MW681826.1,Lutjanus_erythropterus,515.9,527.0,11.100000000000023,534
29,MW681825.1,Lutjanus_erythropterus,486.3,496.0,9.699999999999989,532
30,MW681824.1,Lutjanus_erythropterus,473.2,496.0,22.80000000000001,532
31,MW681823.1,Lutjanus_erythropterus,464.0,446.0,18.0,533
32,MW681822.1,Lutjanus_erythropterus,457.6,446.0,11.600000000000023,533
33,MW681821.1,Lutjanus_erythropterus,453.4,446.0,7.399999999999977,533
34,MW681820.1,Lutjanus_erythropterus,420.5,446.0,25.5,533
35,MW681819.1,Lutjanus_erythropterus,555.9,540.0,15.899999999999977,535
36,MW681818.1,Lutjanus_erythropterus,486.0,496.0,10.0,532
37,MW681817.1,Lutjanus_erythropterus,483.1,496.0,12.899999999999977,532
38,MW681816.1,Lutjanus_erythropterus,497.7,496.0,1.6999999999999886,532
39,MW681815.1,Lutjanus_erythropterus,495.1,496.0,0.8999999999999773,532
40,MW681814.1,Lutjanus_erythropterus,479.4,496.0,16.600000000000023,532
41,MW681812.1,Lutjanus_erythropterus,474.7,496.0,21.30000000000001,532
42,MW681811.1,Lutjanus_erythropterus,484.9,496.0,11.100000000000023,532
43,MW681810.1,Lutjanus_erythropterus,480.3,496.0,15.699999999999989,532
44,MW681809.1,Lutjanus_erythropterus,483.1,496.0,12.899999999999977,532
45,MW681808.1,Lutjanus_erythropterus,480.2,496.0,15.800000000000011,532
46,MW681806.1,Lutjanus_erythropterus,483.8,496.0,12.199999999999989,532
47,MW681805.1,Lutjanus_erythropterus,485.0,496.0,11.0,532
48,MW681804.1,Lutjanus_erythropterus,472.1,496.0,23.899999999999977,532
49,MW681803.1,Lutjanus_erythropterus,492.9,496.0,3.1000000000000227,532
50,MW681802.1,Lutjanus_erythropterus,461.9,446.0,15.899999999999977,533
51,MW681801.1,Lutjanus_erythropterus,481.1,496.0,14.899999999999977,532
52,MW681800.1,Lutjanus_erythropterus,459.5,446.0,13.5,533
53,MW681799.1,Lutjanus_erythropterus,470.0,446.0,24.0,533
54,MW681798.1,Lutjanus_erythropterus,470.7,446.0,24.69999999999999,533
55,MW681797.1,Lutjanus_erythropterus,363.1,446.0,82.89999999999998,533
56,AB208675.1,Pieris_rapae,444.4,563.0,118.60000000000002,1569
57,AB208674.1,Pieris_rapae,423.6,563.0,139.39999999999998,1569
58,AB208673.1,Pieris_rapae,374.1,563.0,188.89999999999998,1569
59,AB177984.1,Pieris_rapae,547.2,563.0,15.799999999999955,1569
60,AF247117.1,Dimidiochromis_compressiceps,424.1,447.0,22.899999999999977,359
61,AF247113.1,Dimidiochromis_compressiceps,452.3,447.0,5.300000000000011,359
62,AY775059.1,Dimidiochromis_compressiceps,499.5,498.0,1.5,358
63,AF247130.1,Dimidiochromis_compressiceps,519.7,533.0,13.299999999999955,360
64,AF247131.1,Dimidiochromis_compressiceps,552.4,567.0,14.600000000000023,361
65,AY775114.1,Maylandia_zebra,496.8,482.0,14.800000000000011,393
66,JF262089.1,Maylandia_zebra,515.7,531.0,15.299999999999955,394
67,JF262085.1,Maylandia_zebra,366.2,368.0,1.8000000000000114,392
68,JF262084.1,Maylandia_zebra,551.7,531.0,20.700000000000045,394
69,AF247118.1,Maylandia_zebra,422.6,368.0,54.60000000000002,392
70,AF247114.1,Maylandia_zebra,453.2,482.0,28.80000000000001,393
71,AF247122.1,Maylandia_zebra,515.6,531.0,15.399999999999977,394
72,AF028014.1,Ictalurus_punctatus,488.0,536.0,48.0,1078
73,FJ839436.1,Ictalurus_punctatus,473.3,536.0,62.69999999999999,1078
74,FJ839435.1,Ictalurus_punctatus,475.4,536.0,60.60000000000002,1078
75,MN519172.1,Neotrygon_kuhlii,461.4,476.0,14.600000000000023,1148
76,MN519164.1,Neotrygon_kuhlii,538.7,552.0,13.299999999999955,1149
77,MN519153.1,Neotrygon_kuhlii,490.4,497.0,6.600000000000023,1146
78,MN519143.1,Neotrygon_kuhlii,494.0,497.0,3.0,1146
79,NM_001290643.2,Mus_musculus,475.5,498.0,22.5,1463
80,NM_001290644.2,Mus_musculus,473.2,498.0,24.80000000000001,1463
81,NM_001425972.1,Mus_musculus,473.2,498.0,24.80000000000001,1463
82,AF190671.2,Mus_musculus,362.1,360.0,2.1000000000000227,1461
83,M55171.2,Mus_musculus,498.7,498.0,0.6999999999999886,1463
84,AH009854.2,Mus_musculus,511.1,512.0,0.8999999999999773,1462
85,BC139827.1,Mus_musculus,457.3,498.0,40.69999999999999,1463
86,BC132010.1,Mus_musculus,475.6,498.0,22.399999999999977,1463
87,BC104486.1,Mus_musculus,486.1,498.0,11.899999999999977,1463
88,DQ779924.1,Mus_musculus,459.7,498.0,38.30000000000001,1463
89,DQ779923.1,Mus_musculus,461.8,498.0,36.19999999999999,1463
90,AF140241.1,Mus_musculus,479.0,498.0,19.0,1463
91,AF076930.1,Mus_musculus,483.5,498.0,14.5,1463
92,AH005930.2,Galago_senegalensis,537.3,545.0,7.7000000000000455,1450
93,AY775102.1,Lethrinops_parvidens,371.1,426.0,54.89999999999998,379
94,AY775116.1,Lethrinops_parvidens,499.4,498.0,1.3999999999999773,378
95,AY780519.1,Lethrinops_parvidens,555.4,563.0,7.600000000000023,381
96,AY775092.1,Lethrinops_parvidens,512.9,514.0,1.1000000000000227,380
97,GQ422477.1,Lethrinops_parvidens,524.5,514.0,10.5,380
98,ON738356.1,Plectroglyphidodon_johnstonianus,373.1,474.0,100.89999999999998,641
99,MN519165.1,Chiloscyllium_punctatum,523.0,531.8,8.799999999999955,1202
100,MN519144.1,Chiloscyllium_punctatum,492.3,499.6,7.300000000000011,1201
101,EU329445.1,Poecilia_reticulata,553.8,560.0,6.2000000000000455,1274
102,EU329433.1,Poecilia_reticulata,547.7,543.0,4.7000000000000455,1280
103,EU329432.1,Poecilia_reticulata,547.9,543.0,4.899999999999977,1280
104,EU329431.1,Poecilia_reticulata,547.6,543.0,4.600000000000023,1280
105,EU329429.1,Poecilia_reticulata,547.2,543.0,4.2000000000000455,1280
106,EU329436.1,Poecilia_reticulata,547.9,543.0,4.899999999999977,1280
107,LC127191.1,Poecilia_reticulata,501.1,501.0,0.10000000000002274,1276
108,LC127190.1,Poecilia_reticulata,354.9,359.0,4.100000000000023,1269
109,LC127189.1,Poecilia_reticulata,408.6,408.0,0.6000000000000227,1277
110,LC127188.1,Poecilia_reticulata,440.2,464.0,23.80000000000001,1278
111,LC127187.1,Poecilia_reticulata,471.2,473.0,1.8000000000000114,225
112,LC127186.1,Poecilia_reticulata,519.0,525.0,6.0,1272
113,LC127185.1,Poecilia_reticulata,553.2,560.0,6.7999999999999545,1274
114,LC127184.1,Poecilia_reticulata,534.1,533.0,1.1000000000000227,1279
115,LC127183.1,Poecilia_reticulata,522.9,525.0,2.1000000000000227,1272
116,HQ260690.1,Poecilia_reticulata,534.0,533.0,1.0,1279
117,HQ260689.1,Poecilia_reticulata,491.1,501.0,9.899999999999977,1276
118,HQ260688.1,Poecilia_reticulata,487.4,501.0,13.600000000000023,1276
119,HQ260687.1,Poecilia_reticulata,490.0,501.0,11.0,1276
120,HQ260686.1,Poecilia_reticulata,492.3,501.0,8.699999999999989,1276
121,HQ260685.1,Poecilia_reticulata,382.0,359.0,23.0,1269
122,HQ260684.1,Poecilia_reticulata,473.6,473.0,0.6000000000000227,225
123,HQ260683.1,Poecilia_reticulata,474.2,473.0,1.1999999999999886,225
124,HQ260682.1,Poecilia_reticulata,547.7,543.0,4.7000000000000455,1280
125,HQ260681.1,Poecilia_reticulata,535.0,533.0,2.0,1279
126,HQ260680.1,Poecilia_reticulata,520.4,525.0,4.600000000000023,1272
127,HQ260679.1,Poecilia_reticulata,546.5,543.0,3.5,1280
128,HQ260676.1,Poecilia_reticulata,522.6,525.0,2.3999999999999773,1272
129,AB748990.1,Poecilia_reticulata,408.7,408.0,0.6999999999999886,1277
130,AB748989.1,Poecilia_reticulata,354.9,359.0,4.100000000000023,1269
131,AB748987.1,Poecilia_reticulata,539.3,541.0,1.7000000000000455,1273
132,AB748986.1,Poecilia_reticulata,527.4,525.0,2.3999999999999773,1272
133,AB748985.1,Poecilia_reticulata,561.6,560.0,1.6000000000000227,1274
134,AB748984.1,Poecilia_reticulata,560.3,560.0,0.2999999999999545,1274
135,HQ260677.1,Poecilia_reticulata,548.0,543.0,5.0,1280
136,JF303638.1,Poecilia_reticulata,441.2,464.0,22.80000000000001,1278
137,DQ912023.1,Poecilia_reticulata,501.2,501.0,0.19999999999998863,1276
138,DQ168661.1,Poecilia_reticulata,560.0,560.0,0.0,1274
139,DQ168660.1,Poecilia_reticulata,534.3,533.0,1.2999999999999545,1279
140,DQ168659.1,Poecilia_reticulata,560.4,560.0,0.39999999999997726,1274
141,DQ234860.1,Poecilia_reticulata,408.6,408.0,0.6000000000000227,1277
142,JX867527.1,Microcebus_murinus,407.1,409.0,1.8999999999999773,1354
143,JX867523.1,Microcebus_murinus,407.1,409.0,1.8999999999999773,1354
144,JX867522.1,Microcebus_murinus,408.2,409.0,0.8000000000000114,1354
145,AB731902.1,Engraulis_japonicus,497.3,502.0,4.699999999999989,111
146,AB731901.1,Engraulis_japonicus,550.5,502.0,48.5,111
147,AB731900.1,Engraulis_japonicus,495.9,492.0,3.8999999999999773,112
148,AB731899.1,Engraulis_japonicus,485.1,492.0,6.899999999999977,112
149,EU523856.1,Haplochromis_burtoni,476.0,455.0,21.0,363
150,EU523855.1,Haplochromis_burtoni,462.3,455.0,7.300000000000011,363
151,EU523854.1,Haplochromis_burtoni,475.7,455.0,20.69999999999999,363
152,AY660540.1,Haplochromis_burtoni,552.6,562.0,9.399999999999977,365
153,AY660539.1,Haplochromis_burtoni,520.7,523.0,2.2999999999999545,364
154,AY660538.1,Haplochromis_burtoni,453.3,455.0,1.6999999999999886,363
155,EU329470.1,Poecilia_parae,530.2,526.0,4.2000000000000455,183
156,EU329468.1,Poecilia_parae,542.5,543.0,0.5,184
157,DQ088640.1,Melanochromis_vermivorus,423.1,418.0,5.100000000000023,387
158,DQ088637.1,Melanochromis_vermivorus,453.1,485.0,31.899999999999977,390
159,DQ088634.1,Melanochromis_vermivorus,515.8,506.0,9.799999999999955,388
160,DQ088631.1,Melanochromis_vermivorus,524.2,534.0,9.799999999999955,391
161,DQ088628.1,Melanochromis_vermivorus,555.0,555.0,0.0,389
162,DQ088646.1,Melanochromis_vermivorus,482.7,485.0,2.3000000000000114,390
163,GQ422472.1,Melanochromis_vermivorus,499.5,503.0,3.5,1260
164,KY368276.1,Coccinella_septempunctata,379.9,360.0,19.899999999999977,1566
165,KY368275.1,Coccinella_septempunctata,379.2,360.0,19.19999999999999,1566
166,KY368274.1,Coccinella_septempunctata,520.2,520.0,0.20000000000004547,1568
167,EU090914.1,Acanthopagrus_butcheri,519.6,509.0,10.600000000000023,655
168,EU090913.1,Acanthopagrus_butcheri,518.9,509.0,9.899999999999977,655
169,AB212996.1,Danio_rerio,477.5,483.0,5.5,1233
170,AB212995.1,Danio_rerio,466.7,483.0,16.30000000000001,1233
171,AB212994.1,Danio_rerio,457.7,483.0,25.30000000000001,1233
172,AB212993.1,Danio_rerio,479.9,483.0,3.1000000000000227,1233
173,KT008401.1,Danio_rerio,546.8,566.0,19.200000000000045,1234
174,KT008400.1,Danio_rerio,555.3,566.0,10.700000000000045,1234
175,KT008399.1,Danio_rerio,359.6,361.0,1.3999999999999773,1231
176,KT008398.1,Danio_rerio,424.8,417.0,7.800000000000011,1232
177,KT008397.1,Danio_rerio,504.5,501.0,3.5,1235
178,KT008396.1,Danio_rerio,489.5,483.0,6.5,1233
179,KT008395.1,Danio_rerio,475.8,483.0,7.199999999999989,1233
180,KT008394.1,Danio_rerio,469.6,483.0,13.399999999999977,1233
181,KT008393.1,Danio_rerio,491.7,483.0,8.699999999999989,1233
182,KT008392.1,Danio_rerio,499.2,501.0,1.8000000000000114,1235
183,CR392348.10,Danio_rerio,479.8,483.0,3.1999999999999886,1233
184,JX293364.1,Danio_rerio,496.3,501.0,4.699999999999989,1235
185,JX293363.1,Danio_rerio,480.3,483.0,2.6999999999999886,1233
186,JX293362.1,Danio_rerio,472.6,483.0,10.399999999999977,1233
187,JX293361.1,Danio_rerio,471.7,483.0,11.300000000000011,1233
188,JX293360.1,Danio_rerio,481.7,483.0,1.3000000000000114,1233
189,BC163681.1,Danio_rerio,487.4,483.0,4.399999999999977,1233
190,BC162681.1,Danio_rerio,469.0,483.0,14.0,1233
191,BC164163.1,Danio_rerio,475.5,483.0,7.5,1233
192,BC128815.1,Danio_rerio,475.5,483.0,7.5,1233
193,BC116614.1,Danio_rerio,463.6,483.0,19.399999999999977,1233
194,BC076120.1,Danio_rerio,540.4,566.0,25.600000000000023,1234
195,BC067683.1,Danio_rerio,359.7,361.0,1.3000000000000114,1231
196,GQ925719.1,Danio_rerio,467.2,483.0,15.800000000000011,1233
197,GQ925718.1,Danio_rerio,476.2,483.0,6.800000000000011,1233
198,GQ925717.1,Danio_rerio,461.3,483.0,21.69999999999999,1233
199,GQ925715.1,Danio_rerio,469.0,483.0,14.0,1233
200,AY493740.1,Danio_rerio,482.4,483.0,0.6000000000000227,1233
201,L11014.1,Danio_rerio,499.0,501.0,2.0,1235
202,AY078161.1,Danio_rerio,461.8,483.0,21.19999999999999,1233
203,AF109373.1,Danio_rerio,362.8,361.0,1.8000000000000114,1231
204,AF109370.1,Danio_rerio,504.4,501.0,3.3999999999999773,1235
205,AF109369.1,Danio_rerio,468.8,483.0,14.199999999999989,1233
206,AY900004.1,Danio_rerio,466.6,483.0,16.399999999999977,1233
207,AL844847.6,Danio_rerio,458.3,483.0,24.69999999999999,1233
208,AL713850.6,Danio_rerio,471.3,483.0,11.699999999999989,1233
209,AY996588.1,Danio_rerio,465.6,483.0,17.399999999999977,1233
210,AY900005.1,Danio_rerio,471.4,483.0,11.600000000000023,1233
211,AB087810.1,Danio_rerio,359.4,361.0,1.6000000000000227,1231
212,AB087811.1,Danio_rerio,499.1,501.0,1.8999999999999773,1235
213,AB035277.1,Danio_rerio,478.2,483.0,4.800000000000011,1233
214,MN519154.1,Carcharhinus_amblyrhynchos,500.0,504.0,4.0,1190
215,MN519145.1,Carcharhinus_amblyrhynchos,496.7,504.0,7.300000000000011,1190
216,JX867486.1,Avahi_laniger,388.6,558.0,169.39999999999998,1441
217,JX867484.1,Avahi_laniger,388.6,558.0,169.39999999999998,1441
218,JX867481.1,Avahi_laniger,389.5,558.0,168.5,1441
219,JX867479.1,Avahi_laniger,390.0,558.0,168.0,1441
220,AY927652.1,Trematomus_loennbergii,372.8,426.0,53.19999999999999,590
221,MW219674.1,Myripristis_violacea,452.6,499.0,46.39999999999998,1291
222,MW219673.1,Myripristis_violacea,500.6,499.0,1.6000000000000227,1291
223,MW219672.1,Myripristis_violacea,497.2,499.0,1.8000000000000114,1291
224,GCES01144684.1,Fundulus_heteroclitus,482.6,463.0,19.600000000000023,169
225,MW219681.1,Sargocentron_diadema,513.3,491.0,22.299999999999955,1287
226,MW219680.1,Sargocentron_diadema,511.5,491.0,20.5,1287
227,MW219682.1,Sargocentron_diadema,444.7,491.0,46.30000000000001,1287
228,MW219679.1,Sargocentron_diadema,491.4,491.0,0.39999999999997726,1287
229,AH005931.2,Otolemur_garnettii,537.3,545.0,7.7000000000000455,1449
230,L11863.1,Carassius_auratus,494.2,509.0,14.800000000000011,1349
231,L11867.1,Carassius_auratus,556.1,532.0,24.100000000000023,139
232,L11866.1,Carassius_auratus,503.1,509.0,5.899999999999977,1349
233,L11865.1,Carassius_auratus,509.0,509.0,0.0,1349
234,L11864.1,Carassius_auratus,443.6,452.0,8.399999999999977,138
235,GQ168789.1,Carassius_auratus,552.0,532.0,20.0,139
236,AB383149.1,Carassius_auratus,470.1,455.0,15.100000000000023,150
237,AY771353.1,Pagothenia_borchgrevinki,490.8,489.0,1.8000000000000114,579
238,AY927653.1,Pagothenia_borchgrevinki,373.8,489.0,115.19999999999999,579
239,DQ352182.1,Didelphis_aurita,391.1,362.0,29.100000000000023,1470
240,DQ352180.1,Didelphis_aurita,543.1,555.0,11.899999999999977,1471
241,MN519178.1,Geotria_australis,465.9,499.0,33.10000000000002,738
242,KT749682.1,Geotria_australis,469.3,499.0,29.69999999999999,738
243,KT749679.1,Geotria_australis,548.5,515.0,33.5,739
244,KT749677.1,Geotria_australis,367.3,499.0,131.7,738
245,KT749674.1,Geotria_australis,443.3,499.0,55.69999999999999,738
246,KT749673.1,Geotria_australis,491.9,499.0,7.100000000000023,738
247,AY366495.1,Geotria_australis,368.2,499.0,130.8,738
248,AY366494.1,Geotria_australis,491.8,499.0,7.199999999999989,738
249,AY366493.1,Geotria_australis,496.4,499.0,2.6000000000000227,738
250,AY366492.1,Geotria_australis,443.2,499.0,55.80000000000001,738
251,JX867431.1,Cheirogaleus_major,406.4,409.0,2.6000000000000227,1438
252,JX867430.1,Cheirogaleus_major,406.4,409.0,2.6000000000000227,1438
253,JX867429.1,Cheirogaleus_major,406.4,409.0,2.6000000000000227,1438
254,MN519168.1,Glaucostegus_typus,546.5,561.0,14.5,1170
255,MN519157.1,Glaucostegus_typus,485.6,477.0,8.600000000000023,1169
256,MN519146.1,Glaucostegus_typus,496.7,504.0,7.300000000000011,1167
257,AY775105.1,Mylochromis_lateristriga,365.8,419.0,53.19999999999999,414
258,AY775085.1,Mylochromis_lateristriga,423.1,419.0,4.100000000000023,414
