,Accession,full_species,prediction_value,closest_measurement,abs_diff,max_id,%Identity_Nearest_VPOD_Sequence
0,DQ168661.1,Poecilia_reticulata,560.0,560.0,0.0,1274,98.034
1,DQ088628.1,Melanochromis_vermivorus,555.0,555.0,0.0,389,93.838
2,L11865.1,Carassius_auratus,509.0,509.0,0.0,1349,90.544
3,AY745192.1,Setonix_brachyurus,538.0,538.0,0.0,1475,86.686
4,MW219662.1,Myripristis_berndti,495.1,495.0,0.10000000000002274,67,98.281
5,LC127191.1,Poecilia_reticulata,501.1,501.0,0.10000000000002274,1276,96.61
6,MW219678.1,Neoniphon_sammara,512.1,512.0,0.10000000000002274,72,86.119
7,AF425072.1,Oncorhynchus_mykiss,497.9,498.0,0.10000000000002274,1208,85.876
8,AY214145.1,Oncorhynchus_kisutch,552.9,553.0,0.10000000000002274,804,84.874
9,MN519158.1,Carcharhinus_melanopterus,506.9,507.0,0.10000000000002274,1196,81.408
10,KY368274.1,Coccinella_septempunctata,520.2,520.0,0.20000000000004547,1568,77.926
11,AY296736.1,Lucania_goodei,404.7,405.0,0.30000000000001137,173,94.034
12,MW219679.1,Sargocentron_diadema,491.4,491.0,0.39999999999997726,1287,98.276
13,MK209489.1,Carollia_perspicillata,500.4,500.0,0.39999999999997726,1482,97.126
14,EU329468.1,Poecilia_parae,542.5,543.0,0.5,184,87.921
15,DQ234860.1,Poecilia_reticulata,408.6,408.0,0.6000000000000227,1277,94.068
16,HQ260684.1,Poecilia_reticulata,473.6,473.0,0.6000000000000227,225,90.0
17,AY214149.1,Oncorhynchus_kisutch,445.4,446.0,0.6000000000000227,802,73.789
18,AY493740.1,Danio_rerio,482.4,483.0,0.6000000000000227,1233,30.556
19,M55171.2,Mus_musculus,498.7,498.0,0.6999999999999886,1463,96.264
20,GQ422515.1,Melanochromis_auratus,482.7,482.0,0.6999999999999886,384,94.783
21,GQ422497.1,Cynotilapia_afra,524.2,525.0,0.7999999999999545,357,96.591
22,GQ422483.1,Melanochromis_auratus,524.2,525.0,0.7999999999999545,385,96.307
23,AY775118.1,Cynotilapia_afra,496.8,496.0,0.8000000000000114,354,98.023
24,AY775115.1,Melanochromis_auratus,497.8,497.0,0.8000000000000114,382,97.74
25,AY775065.1,Copadichromis_borleyi,423.2,424.0,0.8000000000000114,346,95.157
26,JX867522.1,Microcebus_murinus,408.2,409.0,0.8000000000000114,1354,88.539
27,AH009854.2,Mus_musculus,511.1,512.0,0.8999999999999773,1462,98.329
28,GQ422516.1,Aulonocara_hueseri,483.1,484.0,0.8999999999999773,343,93.913
29,MW681815.1,Lutjanus_erythropterus,495.1,496.0,0.8999999999999773,532,92.373
30,HQ260690.1,Poecilia_reticulata,534.0,533.0,1.0,1279,97.797
31,EF457995.1,Cavia_porcellus,498.0,499.0,1.0,1350,94.828
32,AY775092.1,Lethrinops_parvidens,512.9,514.0,1.1000000000000227,380,96.591
33,BC067683.1,Danio_rerio,359.7,361.0,1.3000000000000114,1231,87.202
34,AY214148.1,Oncorhynchus_kisutch,381.3,380.0,1.3000000000000114,1220,80.24
35,AY775116.1,Lethrinops_parvidens,499.4,498.0,1.3999999999999773,378,97.74
36,AY775059.1,Dimidiochromis_compressiceps,499.5,498.0,1.5,358,98.023
37,MW219676.1,Neoniphon_sammara,447.5,446.0,1.5,71,85.755
38,AY775112.1,Aulonocara_hueseri,497.6,496.0,1.6000000000000227,341,98.023
39,GQ452103.1,Mylochromis_lateristriga,483.6,482.0,1.6000000000000227,415,95.455
40,MW219673.1,Myripristis_violacea,500.6,499.0,1.6000000000000227,1291,83.478
41,MT663560.1,Lucania_goodei,357.3,359.0,1.6999999999999886,172,94.328
42,AY660538.1,Haplochromis_burtoni,453.3,455.0,1.6999999999999886,363,81.481
43,DQ088638.1,Tramitichromis_intermedius,453.3,455.0,1.6999999999999886,452,81.481
44,AB748987.1,Poecilia_reticulata,539.3,541.0,1.7000000000000455,1273,98.596
45,GQ422487.1,Pundamilia_azurea,524.3,526.0,1.7000000000000455,434,97.159
46,JF262085.1,Maylandia_zebra,366.2,368.0,1.8000000000000114,392,95.224
47,KT008392.1,Danio_rerio,499.2,501.0,1.8000000000000114,1235,92.938
48,AY771353.1,Pagothenia_borchgrevinki,490.8,489.0,1.8000000000000114,579,83.478
49,AY673764.1,Pundamilia_azurea,453.1,455.0,1.8999999999999773,433,81.481
50,AY673761.1,Pundamilia_pundamilia,453.1,455.0,1.8999999999999773,447,81.481
