feature,p_value,score,gbc,rf,BayesianRidge,Adaboost,et,mean
p1_GAP,0.41786282507341643,0.659604243134222,0.0,0.0,0.0,0.0,0.0,0.0
p1_GTQYSEIVA,1.8468029329242617e-05,19.45393262582376,0.000165901831189761,0.01516461783273919,0.22658053493955393,0.0,0.0,0.048382210920696576
p1_L,0.00377580343997882,8.630681462830347,0.0011001433336661108,0.0070773240700446605,0.05686123918544766,0.0,2.6273878627925087e-08,0.013007746572607412
p1_M,0.016487343124894045,5.86879638344381,0.0015425714335059956,0.01902063908184754,0.3398470424852463,0.0006331935243629305,0.0,0.07220868930499255
p1_P,0.9550338324555211,0.003189070190184059,0.0,0.0,0.0,0.0,0.0,0.0
p2_GAP,0.2648907104887839,1.2514563708023785,0.0,0.0,0.0,0.0,0.0,0.0
p2_M,0.27386688432848727,1.2052392947682828,0.0,0.0,0.0,0.0,0.0,0.0
p2_N,0.7976736667317349,0.06593125333013665,0.0,0.0,0.0,0.0,0.0,0.0
p2_QTHF,0.8479364901396007,0.03688383113969142,0.0,0.0,0.0,0.0,0.0,0.0
p2_S,9.47874214657439e-10,42.12373774023362,0.0024666317137330036,0.07196002069502944,0.08962759180396976,0.0,0.0,0.03281084884254644
p3_E,1.0513103248739263e-05,20.662111221193634,0.0005167825454236417,0.029447202273731356,0.06076275274215654,0.0,0.0,0.018145347512262308
p3_G,0.0011897214483783342,10.879426127783065,0.0,0.014112510349621072,0.15668970087780115,0.0,1.3136939313962543e-08,0.03416044487287231
p3_GAP,0.13472514819916648,2.2591714019439824,0.0,0.0,0.0,0.0,0.0,0.0
p3_YFSDTVKRPLW,4.857028762076281e-07,27.44065937633642,0.007840438330354521,0.040491505608060585,0.4165534450846489,0.0,0.0003005912347950198,0.09303719605157182
p4_G,0.02287718506638759,5.275477528754828,0.0028116497815029247,0.005772163320277283,0.2207556182549766,0.0,0.0,0.04586788627135137
p4_GAP,5.796619504172607e-06,21.950373311494594,0.0,0.0300778653650636,0.035742835251988105,0.0,0.0,0.013164140123410339
p4_I,0.0032340881498823964,8.928333924383724,0.0025104434766213962,0.02754310610752265,0.03291870047249889,0.0,0.0,0.012594450011328587
p4_M,0.006495320506556513,7.598519369778101,0.0011748620214999557,0.0067976496813598655,0.039252312367484436,0.0,0.0,0.00944496481406885
p4_R,8.910449514093819e-08,31.309405350801008,0.002319621512438822,0.057080445101605384,0.1859594310541231,0.0005510562315372574,0.0,0.04918211077994091
p4_S,4.4498034516825694e-07,27.638190174492458,0.003347592120352132,0.010627169709952717,0.42073126888689216,0.0,0.0,0.08694120614343939
p4_T,0.03407422787805609,4.566164504538965,0.0,0.025130811116455355,0.09181692308437245,0.0,1.3136939313962545e-08,0.023389549467553422
p5_E,0.00106649545686273,11.095623584558165,0.1473660884215962,0.011139247371997774,0.11106789932338201,0.0,0.0,0.0539146470233952
p5_GAP,2.9601255165305464e-06,23.41872377688122,0.009434207298483738,0.006645409380435096,0.008698109319469504,0.0,0.0,0.004955545199677667
p5_H,0.2972475930154395,1.0933625283004789,0.0,0.0,0.0,0.0,0.0,0.0
p5_K,0.42009777418901384,0.6532840628046429,0.0,0.0,0.0,0.0,0.0,0.0
p5_Q,0.014625147987792422,6.0879800482808255,0.012468085113624131,0.002139035747177962,0.35174382746388333,0.0,0.0,0.07327018966493708
p5_R,0.07154933633776986,3.2890528577452036,0.0,0.0,0.0,0.0,0.0,0.0
p6_D,0.0005991836866801198,12.24436463868418,0.0,0.0019543223980889295,0.06717923491176739,0.00032194138286012654,0.0,0.01389109973854329
p6_E,3.7257181737429113e-07,28.039567914692896,4.503162347308408e-05,0.008832459203342562,0.025733429296937015,0.0,0.0,0.006922184024750533
p6_G,0.005565797225325104,7.890662040239033,0.021632180014542604,0.06269557014548116,0.008252118109459416,0.0,2.6273878627925087e-08,0.018515978908672362
p6_GAP,0.38032996460493074,0.773753555113538,0.0,0.0,0.0,0.0,0.0,0.0
