,R2,MAE,MSE,RMSE,MAPE
et,0.9368116604523413,9.764862684388584,241.55567625559647,15.4905568272516,0.022034523563018733
lgbm,0.9255015957574747,10.841845922334624,284.2071344664775,16.809889899400833,0.024372664606414806
rf,0.9254691280850847,10.703025346372721,284.59823447507915,16.811250218768816,0.024065613649195402
gbr,0.9200910335245377,12.282161308390638,304.6320261963849,17.377331757881052,0.02757854165658465
xgb,0.9161668419837952,11.477555868514,320.28512416744167,17.84829300301925,0.025825387435699586
BayesianRidge,0.8815107941627502,15.42498863517569,454.6473920086919,21.212305716260435,0.034292933767782884
lr,0.8813674092292786,15.430365609969439,455.1458447198917,21.224120781887517,0.034294273830603836
Adaboost,0.877198953351089,16.906300879993463,470.7892511591157,21.65719981265368,0.03815531309425475
dt,0.8768185875844114,12.844340054666844,472.5710555454736,21.69136869939134,0.028440249481907227
HubR,0.8760393396188494,14.692128183488672,475.2339946286902,21.62830728596069,0.032301137634332885
LassoLars,0.7966358900070191,20.981798403514,783.6918343220312,27.89987080747187,0.04744504595110712
Lasso,0.7966358721256256,20.981799482951793,783.6918988758629,27.8998719790959,0.04744504782135815
