feature,p_value,score,gbc,xgb,rf,mean
p1_H1,6.84226877855975e-05,16.243283998974064,0.0,0.00028641243,0.0036131166945900716,0.0012998430399764312
p1_H2,0.0006079799409067655,11.968843994370783,0.0,0.0,0.00884280231669081,0.0029476007722302696
p1_H3,5.873740836901094e-11,45.674057988700824,0.0,1.0532467e-05,0.006777133646940558,0.002262555371333023
p1_V,0.02247107180105431,5.255574389162375,0.0,0.0,0.002892387190773346,0.0009641290635911153
p1_P1,2.1687408925657256e-12,53.061357751138345,0.0002293095055738487,2.7333477e-05,0.05914794847597287,0.019801530486246194
p1_P2,0.01456256667196671,6.028655584265386,0.0,0.0,0.002892387190773346,0.0009641290635911153
p1_SASA,0.0008679694924883644,11.284397261876736,0.0,0.0,0.002892387190773346,0.0009641290635911153
p1_NCI,1.3886764315121724e-07,28.91345033154667,0.0,0.0,0.24745861988892623,0.08248620662964208
p1_MASS,0.0004466939432135958,12.56449782349518,0.0,0.0,0.002892387190773346,0.0009641290635911153
p2_H1,0.6978540014222706,0.15096267275690495,0.0,0.0,0.0,0.0
p2_H2,0.9821300218909946,0.0005024155280243469,0.0,0.0,0.0,0.0
p2_H3,0.5674461399143549,0.32759677602579024,0.0,0.0,0.0,0.0
p2_V,0.3420122442556339,0.9053404391661793,0.0,0.0,0.0,0.0
p2_P1,0.6688124775618378,0.1833048110888714,0.0,0.0,0.0,0.0
p2_P2,0.40688117963051573,0.6895617288350926,0.0,0.0,0.0,0.0
p2_SASA,0.5347138796135706,0.38619141000688667,0.0,0.0,0.0,0.0
p2_NCI,9.46782012777881e-06,20.207247054540804,0.0,1.1219364e-05,0.0020659389489457807,0.0006923861042624333
p2_MASS,0.5744433128868751,0.31589925679987724,0.0,0.0,0.0,0.0
p3_H1,0.06584261433935891,3.405088047634114,0.0,0.0,0.0,0.0
p3_H2,3.182196076727492e-07,27.179511618627867,0.0,0.0,0.0,0.0
p3_H3,0.550605066533868,0.3569274093398026,0.0,0.0,0.0,0.0
p3_V,3.182196076727622e-07,27.179511618627846,0.0,0.0,0.0,0.0
p3_P1,0.5320832880540417,0.39119004546308755,0.0,0.0,0.0,0.0
p3_P2,3.182196076727622e-07,27.179511618627846,0.0,0.0,0.0,0.0
p3_SASA,0.7706570065832888,0.0851135625812597,0.0,0.0,0.0,0.0
p3_NCI,0.08787666568474593,2.929243995113072,0.0,0.0,0.0,0.0
p3_MASS,0.7347028600445626,0.11502078581833518,0.0,0.0,0.0,0.0
p4_H1,0.35473288085164223,0.8587365373076752,0.0,0.0,0.0,0.0
p4_H2,0.35473288085164223,0.8587365373076752,0.0,0.0,0.0,0.0
p4_H3,0.35473288085164223,0.8587365373076846,0.0,0.0,0.0,0.0
p4_V,0.35473288085164223,0.8587365373076742,0.0,0.0,0.0,0.0
p4_P1,0.35473288085163135,0.8587365373077154,0.0,0.0,0.0,0.0
p4_P2,0.35473288085163135,0.8587365373077344,0.0,0.0,0.0,0.0
p4_SASA,0.35473288085164223,0.85873653730768,0.0,0.0,0.0,0.0
p4_NCI,0.35473288085163135,0.8587365373077187,0.0,0.0,0.0,0.0
p4_MASS,0.35473288085163135,0.8587365373077208,0.0,0.0,0.0,0.0
p5_H1,0.0019076481798200296,9.784780219343647,0.0,0.0,0.0004942124604140439,0.0001647374868046813
p5_H2,0.007305899672273828,7.28139555937061,0.0,0.0,0.0004942124604140439,0.0001647374868046813
p5_H3,0.11312200325394653,2.5227251824226413,0.0,0.0,0.0,0.0
p5_V,0.8159057277377961,0.05428435639135891,0.0,0.0,0.0,0.0
p5_P1,0.10284387280909257,2.674890347172354,0.0,0.0,0.0,0.0
p5_P2,0.7606069465268487,0.09297772466093134,0.0,0.0,0.0,0.0
p5_SASA,0.42278930809289716,0.6440635381776516,0.0,0.0,0.0,0.0
p5_NCI,0.08561760820289323,2.9717139233664565,0.0,0.0,0.0,0.0
p5_MASS,0.36608286432824366,0.8190483935988639,0.0,0.0,0.0,0.0
p6_H1,0.00026619429183145,13.570636268861115,0.0,0.0,0.0004942124604140439,0.0001647374868046813
p6_H2,3.182196076727622e-07,27.17951161862784,0.0,0.0,0.0,0.0
p6_H3,0.6962627590256677,0.15264079848104875,0.0,0.0,0.0,0.0
p6_V,3.182196076727622e-07,27.179511618627846,0.0,0.0,0.0,0.0
p6_P1,0.6643983775358405,0.1885453745013213,0.0,0.0,0.0,0.0
p6_P2,3.182196076727622e-07,27.17951161862784,0.0,0.0,0.0,0.0
p6_SASA,0.5953106391396936,0.28264560659433324,0.0,0.0,0.0,0.0
p6_NCI,0.031065534252239208,4.687192116594231,0.0,0.0,0.0004942124604140439,0.0001647374868046813
p6_MASS,0.47618959582828047,0.5086750629024437,0.0,0.0,0.0,0.0
p7_H1,0.36285596451270274,0.8301571644059167,0.0,0.0,0.0,0.0
p7_H2,0.9504758948419924,0.003863100846707331,0.0,0.0,0.0,0.0
p7_H3,0.32535940293258425,0.9700122906574153,0.0,0.0,0.0,0.0
p7_V,0.45575909531058034,0.5575318958512833,0.0,0.0,0.0,0.0
p7_P1,0.8584700999187462,0.031845778743471144,0.0,0.0,0.0,0.0
p7_P2,0.9907478239322006,0.00013466334633608184,0.0,0.0,0.0,0.0
p7_SASA,0.4813748242322172,0.49681097119369716,0.0,0.0,0.0,0.0
p7_NCI,0.04664610845849056,3.9863719742852317,0.0012800198038005427,0.00033835013,0.015486778367395485,0.005701716100946034
p7_MASS,0.6417741671826263,0.21680691542625458,0.0,0.0,0.0,0.0
p8_H1,0.10176607296822951,2.691810009810942,0.0,0.0,0.0,0.0
p8_H2,0.35185762997677283,0.8690690233508658,0.0,0.0,0.0,0.0
p8_H3,0.121102407216488,2.414764041912439,0.0,0.0,0.0,0.0
p8_V,0.7157326914325551,0.13283360495198254,0.0,0.0,0.0,0.0
p8_P1,0.1710975944171125,1.8810356629537928,0.0,0.0,0.0,0.0
p8_P2,0.6405609039126792,0.21839018474207922,0.0,0.0,0.0,0.0
p8_SASA,0.4584933221056189,0.5507922841586087,0.0,0.0,0.0,0.0
p8_NCI,0.497354827986084,0.46154132646472706,0.0,0.0,0.0,0.0
p8_MASS,0.3507558403897425,0.873059079607077,0.0,0.0,0.0,0.0
p9_H1,0.35473288085164223,0.8587365373076788,0.0,0.0,0.0,0.0
p9_H2,0.35473288085164223,0.8587365373076742,0.0,0.0,0.0,0.0
p9_H3,0.35473288085164223,0.8587365373076846,0.0,0.0,0.0,0.0
p9_V,0.35473288085164223,0.8587365373076878,0.0,0.0,0.0,0.0
p9_P1,0.35473288085163135,0.8587365373076996,0.0,0.0,0.0,0.0
p9_P2,0.35473288085163135,0.8587365373077038,0.0,0.0,0.0,0.0
p9_SASA,0.35473288085163135,0.8587365373077088,0.0,0.0,0.0,0.0
p9_NCI,0.35473288085163135,0.8587365373077146,0.0,0.0,0.0,0.0
p9_MASS,0.35473288085164223,0.858736537307676,0.0,0.0,0.0,0.0
p10_H1,1.605529806801215e-07,28.60922461358967,0.0,0.0005005508,0.0038024002666410678,0.0014343170170924523
p10_H2,0.0003900851026234518,12.82718197495275,0.0,0.0,0.0004942124604140439,0.0001647374868046813
p10_H3,0.6662419067837155,0.18634601783888613,0.0,0.0,0.0,0.0
p10_V,0.2670289995342322,1.2358944512851022,0.0,0.0,0.0,0.0
p10_P1,0.9289381627891822,0.007964722137091228,0.0,0.0,0.0,0.0
p10_P2,0.13859214520939311,2.203592176489002,0.0,0.0,0.0,0.0
p10_SASA,0.23355544645598614,1.4240077211329183,0.0,0.0,0.0,0.0
p10_NCI,0.76744399190058,0.08758662703240909,0.0,0.0,0.0,0.0
p10_MASS,0.31493092112159893,1.0127970256884609,0.0,0.0,0.0,0.0
p11_H1,0.005557149516566018,7.785138919294089,0.02057530588453484,0.00017009827,0.008654969802969701,0.009800124651977165
p11_H2,0.29787523990308906,1.0869246955347651,0.0,0.0,0.0,0.0
