feature,xgb,rf,gbr,mean
1_SCT,2.2616521164309233e-05,0.0002729035205605457,6.293014870442812e-06,0.00010060435219843258
2_H3,2.6215328034595586e-05,3.66149578816125e-05,0.0001562091241568348,7.301313669101429e-05
2_P2,2.474120083206799e-05,4.020969006625592e-05,1.526042473908439e-06,2.2158977790744114e-05
2_SCT,2.9599881600006483e-05,2.9211699913170592e-05,3.0147386006760225e-08,1.9613909633061278e-05
2_PKA,2.650141868798528e-05,3.3389781444117106e-05,1.6199466790626252e-05,2.536355564090955e-05
3_H3,3.64366132998839e-05,2.5340456724947184e-05,7.414663549448114e-06,2.3063911191426398e-05
3_SCT,6.871452205814421e-05,6.176358026450101e-05,3.4436064663874346e-05,5.497138899550652e-05
3_PKB,0.00010038947220891714,9.706642726916137e-05,1.2902384362396033e-05,7.011942794682485e-05
4_H3,0.00025074227596633136,4.9343775624245366e-06,0.0,8.522555117625196e-05
4_P2,3.080773967667483e-05,1.7235867834329115e-05,1.575975930385897e-05,2.126778893828764e-05
4_SCT,0.0,7.081956728079228e-06,2.4074145696084083e-06,3.163123765895879e-06
4_PKA,0.00012153841817053035,1.2000750354192648e-05,2.4507745715300634e-05,5.268230474667454e-05
5_H3,4.040512430947274e-05,3.99149492124043e-06,3.18290260852743e-05,2.5408548438662487e-05
5_P2,0.00010832124826265499,1.187661738523477e-05,7.779517774826166e-07,4.0325272475124126e-05
5_SCT,0.0,7.86197886936048e-06,0.0,2.62065962312016e-06
5_PKA,4.849548713536933e-05,4.554286736923904e-05,1.0939537062576638e-05,3.4992630522395e-05
6_H3,0.00023281367612071335,1.6360976152951578e-05,0.0,8.305821742455498e-05
6_P2,3.802481296588667e-05,4.358917589921489e-05,1.1130176825947161e-05,3.091472189701624e-05
6_SCT,0.00024442089488729835,1.662476149327062e-05,3.9698169235417535e-05,0.00010024794187199551
6_PKA,2.2726946554030292e-05,4.725589573565887e-05,2.0689960498017152e-05,3.0224267595902106e-05
7_H3,2.0764018699992448e-05,1.010865306451589e-05,9.637797928941603e-07,1.0612150519134165e-05
7_P2,9.13240946829319e-05,9.58577716175143e-05,2.0533488420893885e-06,6.307840504751187e-05
7_SCT,5.403755130828358e-05,8.35538881270196e-06,3.460234063207635e-05,3.233176025102063e-05
7_PKA,0.0002807875571306795,0.0001436957184747926,0.000430162268485347,0.000284881848030273
8_H3,1.716765109449625e-05,2.0252779479103295e-05,0.0,1.2473476857866515e-05
8_P2,4.180135510978289e-05,0.00014820252171867008,0.0001550843068095042,0.00011502939454598573
8_SCT,1.5233315934892744e-05,8.485938852455974e-06,5.589470749364909e-07,8.092733954095069e-06
8_PKA,4.1117742512142286e-05,6.220334336697545e-05,8.728425238829814e-06,3.734983703931585e-05
8_PKB,4.206471567158587e-05,4.93344400444209e-05,2.439529291033264e-05,3.859814954211314e-05
9_H3,4.0443195757688954e-05,7.960395609574884e-07,1.875757539034028e-06,1.4371664285893491e-05
9_P2,7.833082781871781e-05,2.651221653336033e-05,7.321967045188259e-06,3.738833713242213e-05
9_SCT,8.571657963329926e-05,3.482606735418845e-06,7.68889641296876e-07,2.9989358670004992e-05
9_PKA,1.2555867215269245e-05,2.5376127412111903e-05,0.0,1.264399820912705e-05
9_PKB,5.544552914216183e-05,1.909769314533097e-05,5.051351311206993e-06,2.6531524532899927e-05
10_H3,1.0690595445339568e-05,1.4606525179417843e-05,1.582281145478726e-08,8.437647812070733e-06
10_SCT,4.991861715097912e-06,6.537647829038415e-06,0.0,3.843169848045442e-06
10_PKA,7.01182143529877e-05,1.5896473775148756e-05,2.4282054277144532e-05,3.676558080176033e-05
10_PKB,0.0002113300288328901,2.941434479447904e-05,8.358510517716099e-05,0.00010810982626817671
11_H3,3.245383413741365e-05,1.3089185194369835e-06,1.2205414395661512e-05,1.5322722350837383e-05
11_P2,1.3681566997547634e-05,4.4066630323441514e-05,1.1484144443994084e-05,2.3077447254994412e-05
11_SCT,1.867738683358766e-05,3.2182873151682796e-06,0.0,7.298558049585313e-06
11_PKA,5.676018918165937e-05,9.661024300867348e-06,2.8054669581256674e-06,2.3075560146884126e-05
11_PKB,2.678702730918303e-05,1.1954406606953852e-05,8.622048505723244e-07,1.3201212922236401e-05
12_H3,0.0,7.006052427512044e-06,0.0,2.3353508091706812e-06
12_SCT,0.0,7.314529775734778e-07,3.583842081324946e-06,1.4384316862994747e-06
13_P2,9.571371629135683e-05,2.8626266665954838e-05,5.0260314937891345e-06,4.3122004817033604e-05
13_SCT,1.4021409697306808e-05,4.044298383853628e-06,0.0,6.021902693720145e-06
