,Accession,full_species,prediction_value,closest_measurement,abs_diff,max_id
0,MN519163.1,Aptychotrema_vincentiana,541.3,557.0,15.700000000000045,1166
1,MN519152.1,Aptychotrema_vincentiana,486.4,500.0,13.600000000000023,1163
2,MN519142.1,Aptychotrema_vincentiana,495.7,500.0,4.300000000000011,1163
3,JF823570.1,Poecilia_formosa,519.6,504.0,15.600000000000023,199
4,JF823569.1,Poecilia_formosa,556.9,560.0,3.1000000000000227,203
5,JF823567.1,Poecilia_formosa,534.4,560.0,25.600000000000023,203
6,JF823566.1,Poecilia_formosa,532.5,560.0,27.5,203
7,JF823565.1,Poecilia_formosa,554.5,560.0,5.5,203
8,JF823564.1,Poecilia_formosa,544.8,560.0,15.200000000000045,203
9,JF823562.1,Poecilia_formosa,530.7,504.0,26.700000000000045,199
10,JF823561.1,Poecilia_formosa,531.2,504.0,27.200000000000045,199
11,AB619216.1,Trematomus_bernacchii,550.0,502.0,48.0,581
12,OK432517.1,Neogonodactylus_oerstedii,429.0,383.0,46.0,1543
13,MT112887.1,Neogonodactylus_oerstedii,455.0,383.0,72.0,1543
14,MT112886.1,Neogonodactylus_oerstedii,527.8,383.0,144.79999999999995,1543
15,MT112885.1,Neogonodactylus_oerstedii,523.5,383.0,140.5,1543
16,MT112884.1,Neogonodactylus_oerstedii,524.4,383.0,141.39999999999998,1543
17,MT112883.1,Neogonodactylus_oerstedii,571.9,383.0,188.89999999999998,1543
18,MT112882.1,Neogonodactylus_oerstedii,544.5,383.0,161.5,1543
19,MT112881.1,Neogonodactylus_oerstedii,530.6,383.0,147.60000000000002,1543
20,MT112879.1,Neogonodactylus_oerstedii,535.3,383.0,152.29999999999995,1543
21,MT112878.1,Neogonodactylus_oerstedii,532.0,383.0,149.0,1543
22,MT112877.1,Neogonodactylus_oerstedii,532.2,383.0,149.20000000000005,1543
23,MT112873.1,Neogonodactylus_oerstedii,527.7,383.0,144.70000000000005,1543
24,MT112872.1,Neogonodactylus_oerstedii,529.2,383.0,146.20000000000005,1543
25,MT112871.1,Neogonodactylus_oerstedii,518.4,383.0,135.39999999999998,1543
26,MT112870.1,Neogonodactylus_oerstedii,470.8,383.0,87.80000000000001,1543
27,MT112869.1,Neogonodactylus_oerstedii,466.9,383.0,83.89999999999998,1543
28,MT112868.1,Neogonodactylus_oerstedii,454.7,383.0,71.69999999999999,1543
29,MT112867.1,Neogonodactylus_oerstedii,463.3,383.0,80.30000000000001,1543
30,MT112866.1,Neogonodactylus_oerstedii,467.2,383.0,84.19999999999999,1543
31,MT112865.1,Neogonodactylus_oerstedii,526.5,383.0,143.5,1543
32,MT112864.1,Neogonodactylus_oerstedii,457.9,383.0,74.89999999999998,1543
33,MT112863.1,Neogonodactylus_oerstedii,475.1,383.0,92.10000000000002,1543
34,MT112862.1,Neogonodactylus_oerstedii,465.6,383.0,82.60000000000002,1543
35,MT112861.1,Neogonodactylus_oerstedii,517.9,383.0,134.89999999999998,1543
36,MT112859.1,Neogonodactylus_oerstedii,526.4,383.0,143.39999999999998,1543
37,MG020535.1,Neogonodactylus_oerstedii,468.5,383.0,85.5,1543
38,MG020534.1,Neogonodactylus_oerstedii,458.1,383.0,75.10000000000002,1543
39,MG020533.1,Neogonodactylus_oerstedii,469.9,383.0,86.89999999999998,1543
40,MG020532.1,Neogonodactylus_oerstedii,481.3,383.0,98.30000000000001,1543
41,MG020531.1,Neogonodactylus_oerstedii,490.8,383.0,107.80000000000001,1543
42,MG020530.1,Neogonodactylus_oerstedii,485.9,383.0,102.89999999999998,1543
43,MG020529.1,Neogonodactylus_oerstedii,456.9,383.0,73.89999999999998,1543
44,MG020528.1,Neogonodactylus_oerstedii,464.7,383.0,81.69999999999999,1543
