,Accession,full_species,prediction_value,closest_measurement,abs_diff,max_id,%Identity_Nearest_VPOD_Sequence,Gene_Description
0,DQ168661.1,Poecilia_reticulata,560.0,560.0,0.0,1274,98.034,"Poecilia reticulata LWS_QUEm5_L06 long wave-sensitive opsin mRNA, complete cds"
1,DQ088628.1,Melanochromis_vermivorus,555.0,555.0,0.0,389,93.838,"Melanochromis vermivorus putative red sensitive visual pigment (LWS) gene, complete cds"
2,L11865.1,Carassius_auratus,509.0,509.0,0.0,1349,90.544,"Carassius auratus green cone opsin mRNA, complete cds"
3,AY745192.1,Setonix_brachyurus,538.0,538.0,0.0,1475,86.686,"Setonix brachyurus long-wave sensitive opsin mRNA, complete cds"
4,MW219662.1,Myripristis_berndti,495.1,495.0,0.1000000000000227,67,98.281,"Myripristis berndti rhodopsin RH1 mRNA, complete cds"
5,LC127191.1,Poecilia_reticulata,501.1,501.0,0.1000000000000227,1276,96.61,"Poecilia reticulata rho mRNA for RH1 opsin, complete cds"
6,MW219678.1,Neoniphon_sammara,512.1,512.0,0.1000000000000227,72,86.119,"Neoniphon sammara isolate F6 rhodopsin-like RH2A-2 opsin mRNA, complete cds"
7,AF425072.1,Oncorhynchus_mykiss,497.9,498.0,0.1000000000000227,1208,85.876,"Oncorhynchus mykiss RH1 opsin mRNA, complete cds"
8,AY214145.1,Oncorhynchus_kisutch,552.9,553.0,0.1000000000000227,804,84.874,"Oncorhynchus kisutch LWS opsin mRNA, complete cds"
9,MN519158.1,Carcharhinus_melanopterus,506.9,507.0,0.1000000000000227,1196,81.408,"Carcharhinus melanopterus isolate U16228 green-sensitive opsin mRNA, complete cds"
10,KY368274.1,Coccinella_septempunctata,520.2,520.0,0.2000000000000454,1568,77.926,"Coccinella septempunctata long wavelength sensitive opsin mRNA, complete cds"
11,AY296736.1,Lucania_goodei,404.7,405.0,0.3000000000000113,173,94.034,"Lucania goodei SWS2B opsin mRNA, complete cds"
12,MW219679.1,Sargocentron_diadema,491.4,491.0,0.3999999999999772,1287,98.276,"Sargocentron diadema isolate F30 rhodopsin RH1 mRNA, complete cds"
13,MK209489.1,Carollia_perspicillata,500.4,500.0,0.3999999999999772,1482,97.126,"Carollia perspicillata isolate PE070 rhodopsin (RHO) mRNA, complete cds"
14,EU329468.1,Poecilia_parae,542.5,543.0,0.5,184,87.921,"Micropoecilia parae isolate 1 long wave-sensitive opsin S180 gene, complete cds"
15,DQ234860.1,Poecilia_reticulata,408.6,408.0,0.6000000000000227,1277,94.068,"Poecilia reticulata violet/blue-sensitive opsin (SWS2B) mRNA, complete cds"
16,HQ260684.1,Poecilia_reticulata,473.6,473.0,0.6000000000000227,225,90.0,"Poecilia reticulata SWS2A opsin mRNA, partial cds"
17,AY214149.1,Oncorhynchus_kisutch,445.4,446.0,0.6000000000000227,802,73.789,"Oncorhynchus kisutch SWS2 opsin mRNA, complete cds"
18,AY493740.1,Danio_rerio,482.4,483.0,0.6000000000000227,1233,30.556,"Danio rerio opsin 5 (opn5) mRNA, complete cds"
19,M55171.2,Mus_musculus,498.7,498.0,0.6999999999999886,1463,96.264,"Mouse opsin (MOPS) gene, complete cds"
20,GQ422515.1,Melanochromis_auratus,482.7,482.0,0.6999999999999886,384,94.783,"Melanochromis auratus blue-green sensitive visual pigment Rh2B gene, complete cds"
21,GQ422497.1,Cynotilapia_afra,524.2,525.0,0.7999999999999545,357,96.591,"Cynotilapia afra green sensitive visual pigment Rh2A alpha gene, complete cds"
22,GQ422483.1,Melanochromis_auratus,524.2,525.0,0.7999999999999545,385,96.307,"Melanochromis auratus green sensitive visual pigment Rh2A alpha gene, complete cds"
23,AY775118.1,Cynotilapia_afra,496.8,496.0,0.8000000000000114,354,98.023,"Cynotilapia afra rod opsin (RH1) gene, complete cds"
24,AY775115.1,Melanochromis_auratus,497.8,497.0,0.8000000000000114,382,97.74,"Melanochromis auratus rod opsin (RH1) gene, complete cds"
25,AY775065.1,Copadichromis_borleyi,423.2,424.0,0.8000000000000114,346,95.157,"Copadichromis borleyi short wavelength sensitive 2b (SWS2b) mRNA, complete cds"
26,JX867522.1,Microcebus_murinus,408.2,409.0,0.8000000000000114,1354,88.539,"Microcebus murinus isolate MOR100 short-wavelength-sensitive opsin protein (SWS1) gene, complete cds"
27,AH009854.2,Mus_musculus,511.1,512.0,0.8999999999999773,1462,98.329,"Mus musculus strain B10 green opsin gene, complete cds"
28,GQ422516.1,Aulonocara_hueseri,483.1,484.0,0.8999999999999773,343,93.913,"Aulonocara hueseri blue-green sensitive visual pigment Rh2B gene, complete cds"
29,MW681815.1,Lutjanus_erythropterus,495.1,496.0,0.8999999999999773,532,92.373,"Lutjanus erythropterus rh1 mRNA, complete cds"
30,HQ260690.1,Poecilia_reticulata,534.0,533.0,1.0,1279,97.797,"Poecilia reticulata LWS A180 opsin mRNA, partial cds"
31,EF457995.1,Cavia_porcellus,498.0,499.0,1.0,1350,94.828,"Cavia porcellus rhodopsin (Rho) mRNA, complete cds"
32,AY775092.1,Lethrinops_parvidens,512.9,514.0,1.1000000000000227,380,96.591,"Lethrinops parvidens cone opsin (RH2) gene, complete cds"
33,BC067683.1,Danio_rerio,359.7,361.0,1.3000000000000114,1231,87.202,"Danio rerio opsin 1 (cone pigments), short-wave-sensitive 1, mRNA (cDNA clone MGC:85903 IMAGE:6972144), complete cds"
34,AY214148.1,Oncorhynchus_kisutch,381.3,380.0,1.3000000000000114,1220,80.24,"Oncorhynchus kisutch SWS1 opsin mRNA, complete cds"
35,AY775116.1,Lethrinops_parvidens,499.4,498.0,1.3999999999999773,378,97.74,"Lethrinops parvidens rod opsin (RH1) gene, complete cds"
36,AY775059.1,Dimidiochromis_compressiceps,499.5,498.0,1.5,358,98.023,"Dimidiochromis compressiceps rod opsin (RH1) mRNA, complete cds"
37,MW219676.1,Neoniphon_sammara,447.5,446.0,1.5,71,85.755,"Neoniphon sammara isolate F3 short wavelength sensitive SWS2A opsin mRNA, complete cds"
38,AY775112.1,Aulonocara_hueseri,497.6,496.0,1.6000000000000227,341,98.023,"Aulonocara hueseri rod opsin (RH1) gene, complete cds"
39,GQ452103.1,Mylochromis_lateristriga,483.6,482.0,1.6000000000000227,415,95.455,"Maravichromis lateristriga blue-green sensitive visual pigment Rh2B gene, complete cds"
40,MW219673.1,Myripristis_violacea,500.6,499.0,1.6000000000000227,1291,83.478,"Myripristis violacea isolate F5 rhodopsin-like RH2B-1 opsin mRNA, complete cds"
41,MT663560.1,Lucania_goodei,357.3,359.0,1.6999999999999886,172,94.328,"Lucania goodei short wavelength sensitive 1 (SWS1) gene, complete cds"
42,AY660538.1,Haplochromis_burtoni,453.3,455.0,1.6999999999999886,363,81.481,"Astatotilapia burtoni putative blue-sensitive opsin mRNA, complete cds"
43,DQ088638.1,Tramitichromis_intermedius,453.3,455.0,1.6999999999999886,452,81.481,"Tramitichromis intermedius putative blue sensitive visual pigment (SWS2a) gene, complete cds"
44,AB748987.1,Poecilia_reticulata,539.3,541.0,1.7000000000000457,1273,98.596,"Poecilia reticulata LWS-3 gene for long wave sensitive-3 opsin, complete cds"
45,GQ422487.1,Pundamilia_azurea,524.3,526.0,1.7000000000000457,434,97.159,"Pundamilia azurea green sensitive visual pigment Rh2A alpha gene, complete cds"
46,JF262085.1,Maylandia_zebra,366.2,368.0,1.8000000000000114,392,95.224,"Maylandia zebra clone BAC Mz042C6 SWS1 opsin gene, complete cds"
47,KT008392.1,Danio_rerio,499.2,501.0,1.8000000000000114,1235,92.938,"Danio rerio rhodopsin-like-1.1 rod opsin (rh1.1) mRNA, complete cds"
48,AY771353.1,Pagothenia_borchgrevinki,490.8,489.0,1.8000000000000114,579,83.478,"Pagothenia borchgrevinki green-sensitive pigment (RH2) mRNA, complete cds"
49,AY673764.1,Pundamilia_azurea,453.1,455.0,1.8999999999999773,433,81.481,"Pundamilia azurea isolate MSP #6 putative blue sensitive visual pigment (SWS2a) gene, complete cds"
